net,op_count_0,op_count_1,op_count_2,op_count_3,op_count_4,min_path_len_banned_(1),"min_path_len_banned_(0, 1)","min_path_len_banned_(0, 1, 4)","min_path_len_banned_(1, 4)",max_op_on_path_allowed_(0),"max_op_on_path_allowed_(0, 2)","max_op_on_path_allowed_(0, 2, 3)","max_op_on_path_allowed_(0, 3)","max_op_on_path_allowed_(2, 3)",max_op_on_path_allowed_(2),max_op_on_path_allowed_(3),node_degree_allowed_(1)_in_degree,node_degree_allowed_(1)_out_degree,node_degree_allowed_(1)_avg_in,node_degree_allowed_(1)_avg_out,"node_degree_allowed_(1, 2, 3)_in_degree","node_degree_allowed_(1, 2, 3)_out_degree","node_degree_allowed_(1, 2, 3)_avg_in","node_degree_allowed_(1, 2, 3)_avg_out",node_degree_allowed_(0)_in_degree,node_degree_allowed_(0)_out_degree,node_degree_allowed_(0)_avg_in,node_degree_allowed_(0)_avg_out,node_degree_allowed_(2)_in_degree,node_degree_allowed_(2)_out_degree,node_degree_allowed_(2)_avg_in,node_degree_allowed_(2)_avg_out,node_degree_allowed_(3)_in_degree,node_degree_allowed_(3)_out_degree,node_degree_allowed_(3)_avg_in,node_degree_allowed_(3)_avg_out,"node_degree_allowed_(0, 2)_in_degree","node_degree_allowed_(0, 2)_out_degree","node_degree_allowed_(0, 2)_avg_in","node_degree_allowed_(0, 2)_avg_out","node_degree_allowed_(0, 3)_in_degree","node_degree_allowed_(0, 3)_out_degree","node_degree_allowed_(0, 3)_avg_in","node_degree_allowed_(0, 3)_avg_out","node_degree_allowed_(0, 2, 3)_in_degree","node_degree_allowed_(0, 2, 3)_out_degree","node_degree_allowed_(0, 2, 3)_avg_in","node_degree_allowed_(0, 2, 3)_avg_out",flops,params
|avg_pool_3x3~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|avg_pool_3x3~1|nor_conv_1x1~2|,1,1,0,2,2,1,1,1,1,1,1,2,2,1,0,1,0,0,0.25,0.25,1,2,0.75,0.75,1,0,0.25,0.25,0,0,0.0,0.0,1,2,0.5,0.5,1,0,0.25,0.25,2,2,0.75,0.75,2,2,0.75,0.75,19.248832,0.129306
|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|,2,0,2,1,1,1,2,2,1,1,3,3,1,2,2,1,0,0,0.0,0.0,1,2,0.75,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,1,0.25,0.25,2,2,1.0,1.0,1,2,0.75,0.75,2,3,1.25,1.25,85.235392,0.587386
|nor_conv_3x3~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|avg_pool_3x3~1|none~2|,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,0.5,2,2,1.0,1.0,1,0,0.25,0.25,1,0,0.25,0.25,1,1,0.25,0.25,2,0,0.5,0.5,2,1,0.5,0.5,3,1,0.75,0.75,49.415872,0.344346
|skip_connect~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,2,1,2,1,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0.25,0.25,1,3,1.0,1.0,2,0,0.5,0.5,1,2,0.5,0.5,0,1,0.25,0.25,3,2,1.0,1.0,2,1,0.75,0.75,3,3,1.25,1.25,83.945152,0.587386
|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,0,3,1,0,2,5,5,5,5,0,0,0,0,0,0,0,1,3,0.75,0.75,1,3,1.0,1.0,0,0,0.0,0.0,0,0,0.25,0.25,0,0,0.0,0.0,0,0,0.25,0.25,0,0,0.0,0.0,0,0,0.25,0.25,46.343872,0.316346
|nor_conv_3x3~0|+|none~0|none~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,2,2,1,1,0,1,2,2,1,1,1,2,1,2,1,1,1,0,0.5,0.5,2,1,1.0,1.0,1,2,0.5,0.5,1,0,0.25,0.25,0,1,0.25,0.25,2,2,0.75,0.75,1,3,0.75,0.75,2,3,1.0,1.0,48.125632,0.344346
|skip_connect~0|+|avg_pool_3x3~0|none~1|+|none~0|none~1|skip_connect~2|,2,3,0,0,1,2,5,5,5,2,2,2,2,0,0,0,1,2,0.75,0.75,1,2,0.75,0.75,1,1,0.5,0.5,0,0,0.0,0.0,0,0,0.0,0.0,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,9.234112,0.073306
|avg_pool_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|nor_conv_1x1~2|,0,1,0,4,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0.25,0.25,2,3,1.25,1.25,0,0,0.0,0.0,0,0,0.0,0.0,1,3,1.0,1.0,0,0,0.0,0.0,1,3,1.0,1.0,1,3,1.0,1.0,26.683072,0.185306
|nor_conv_1x1~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,0,1,2,3,0,1,1,1,1,0,1,3,3,3,1,3,1,0,0.25,0.25,3,3,1.5,1.5,0,0,0.0,0.0,1,2,0.5,0.5,1,1,0.75,0.75,1,2,0.5,0.5,1,1,0.75,0.75,2,3,1.25,1.25,92.669632,0.643386
|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|nor_conv_1x1~1|nor_conv_1x1~2|,2,1,0,3,0,2,2,2,2,1,1,3,3,2,0,2,1,1,0.25,0.25,2,3,1.0,1.0,1,0,0.5,0.5,0,0,0.0,0.0,1,2,0.75,0.75,1,0,0.5,0.5,2,2,1.25,1.25,2,2,1.25,1.25,21.030592,0.157306
|nor_conv_3x3~0|+|skip_connect~0|nor_conv_3x3~1|+|avg_pool_3x3~0|none~1|skip_connect~2|,2,1,2,0,1,1,1,5,2,2,3,3,2,2,2,0,0,1,0.25,0.25,1,1,0.75,0.75,1,1,0.5,0.5,1,0,0.5,0.5,0,0,0.0,0.0,2,1,1.0,1.0,1,1,0.5,0.5,2,1,1.0,1.0,80.873152,0.559386
|nor_conv_1x1~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|none~0|skip_connect~1|skip_connect~2|,2,1,0,1,2,2,5,5,2,1,1,2,2,1,0,1,1,1,0.25,0.25,2,1,0.5,0.5,0,2,0.5,0.5,0,0,0.0,0.0,1,0,0.25,0.25,0,2,0.5,0.5,1,2,0.75,0.75,1,2,0.75,0.75,14.886592,0.101306
|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,1,0,2,0,3,1,1,5,5,0,1,1,0,1,1,0,0,0,0.0,0.0,1,1,0.5,0.5,0,0,0.25,0.25,1,1,0.5,0.5,0,0,0.0,0.0,1,1,0.75,0.75,0,0,0.25,0.25,1,1,0.75,0.75,83.453632,0.559386
|avg_pool_3x3~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|none~1|nor_conv_1x1~2|,2,1,0,1,2,1,3,5,1,1,1,2,2,1,0,1,0,1,0.25,0.25,0,2,0.5,0.5,2,1,0.5,0.5,0,0,0.0,0.0,0,1,0.25,0.25,2,1,0.5,0.5,2,2,0.75,0.75,2,2,0.75,0.75,14.886592,0.101306
|none~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,3,1,1,1,0,1,1,1,1,2,2,2,2,1,0,1,1,0,0.25,0.25,2,1,0.75,0.75,1,2,0.75,0.75,0,0,0.25,0.25,1,1,0.25,0.25,1,2,1.0,1.0,2,3,1.0,1.0,2,3,1.25,1.25,48.125632,0.344346
