,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,MLP10,only_features,42,100,0.2593331996181883,0.2922197321500157,0.43670603147751064,0.12435542071529047
1,11,edgegpu,MLP10,only_proxies,42,100,-19847796504.96311,127092056181.15535,0.34793262086245447,0.13703253236666116
2,11,edgegpu,MLP10,only_one_hot,42,100,0.06807674131268122,0.18897846503808693,0.2823455865635938,0.105559018747277
3,11,edgegpu,MLP10,features_one_hot,42,100,0.278920078159293,0.20004824545152045,0.4405768842653511,0.10741846836905168
4,11,edgegpu,MLP10,features_proxies,42,100,-2062002902.617314,13545172425.382421,0.42151805469749215,0.10805294010813572
5,11,edgegpu,MLP10,features_one_hot_proxies,42,100,-726776416.0213867,3893268108.0099387,0.4462867885362992,0.10114203871559961
6,11,edgegpu,MLP10,only_full_features,42,100,0.35455931998187085,0.1835925185881268,0.469176653514821,0.10635744079907097
7,11,edgegpu,MLP10,full_features_one_hot,42,100,0.35230019301810755,0.1805315614237119,0.4629222658912222,0.10814800398280802
8,11,edgegpu,MLP10,full_features_one_hot_proxies,42,100,-75535331.51502918,169220715.53515625,0.4673065228740035,0.09839625402844572
9,11,eyeriss,MLP10,only_features,42,100,0.6078630691206621,0.1698985039100345,0.6462002829996788,0.09394195420035945
10,11,eyeriss,MLP10,only_proxies,42,100,-8731235111.43677,51093441384.281006,0.36960153644005894,0.10768073690858161
11,11,eyeriss,MLP10,only_one_hot,42,100,0.16487653174947287,0.179974325744693,0.3311657109672346,0.10545386687072797
12,11,eyeriss,MLP10,features_one_hot,42,100,0.4981464204764311,0.16573738989501777,0.5923628153405219,0.0932352097888745
13,11,eyeriss,MLP10,features_proxies,42,100,-342968601.51072466,616301201.630458,0.5571610330290389,0.11761360421523291
14,11,eyeriss,MLP10,features_one_hot_proxies,42,100,-276579179.46003383,570805451.8927664,0.5370992299746163,0.11098565484175069
15,11,eyeriss,MLP10,only_full_features,42,100,0.6826787999997387,0.14415186945549574,0.6745461280856917,0.08575013447178041
16,11,eyeriss,MLP10,full_features_one_hot,42,100,0.6621791751963031,0.13898922215449938,0.6671064976982168,0.08778339280717279
17,11,eyeriss,MLP10,full_features_one_hot_proxies,42,100,-39142029.50033903,127206001.73073494,0.6204659653182948,0.0887310150761588
18,11,fpga,MLP10,only_features,42,100,0.6940069194301434,0.16835156437411852,0.7149913933990097,0.0735128195010719
19,11,fpga,MLP10,only_proxies,42,100,-2792930523.785006,6976723998.514227,0.5883577613099389,0.12197781989156088
20,11,fpga,MLP10,only_one_hot,42,100,0.1561591658596394,0.18992051496644938,0.3220065568040631,0.10526000505888004
21,11,fpga,MLP10,features_one_hot,42,100,0.6171912464568171,0.1557988589759426,0.6648657038499428,0.09199076005833651
22,11,fpga,MLP10,features_proxies,42,100,-476819545.1737444,1121036712.8121326,0.6445441393210103,0.10016007446078432
23,11,fpga,MLP10,features_one_hot_proxies,42,100,-592639334.4660641,2739906543.2385545,0.6220031445630014,0.12117235696887527
24,11,fpga,MLP10,only_full_features,42,100,0.6551897483695351,0.15721051527733026,0.6748482551667415,0.08739289377156445
25,11,fpga,MLP10,full_features_one_hot,42,100,0.6440461217508975,0.1660268943677652,0.6709516372283371,0.10056529969057162
26,11,fpga,MLP10,full_features_one_hot_proxies,42,100,-64185742.773704395,173654791.85864538,0.6560127220378571,0.0901184134108671
27,25,edgegpu,MLP10,only_features,42,100,0.5309902437247692,0.11854752920024565,0.5777247293728088,0.06031387088006745
28,25,edgegpu,MLP10,only_proxies,42,100,-7386624507.316996,15426293296.282324,0.42435798615625925,0.07656493544695336
29,25,edgegpu,MLP10,only_one_hot,42,100,0.3709975551101776,0.17280916970475324,0.4689324504838844,0.09926008520083365
30,25,edgegpu,MLP10,features_one_hot,42,100,0.5769067477166848,0.0951274758021991,0.5961423036864683,0.05193204269595904
31,25,edgegpu,MLP10,features_proxies,42,100,-766097874.7692325,1530952188.2474127,0.5837724149965766,0.06020049287551852
32,25,edgegpu,MLP10,features_one_hot_proxies,42,100,-345537982.87559724,632628453.247719,0.5950283060468831,0.07894137554861762
33,25,edgegpu,MLP10,only_full_features,42,100,0.580340390402123,0.09664990029472881,0.5975312629655131,0.04962496365156382
34,25,edgegpu,MLP10,full_features_one_hot,42,100,0.603566710245889,0.07882937043995426,0.6085033169415699,0.046674949927331115
35,25,edgegpu,MLP10,full_features_one_hot_proxies,42,100,-61599515.09356217,114779547.69645023,0.6055263448052862,0.06055921776114662
36,25,eyeriss,MLP10,only_features,42,100,0.8574600348639061,0.1120555116210943,0.791673593225838,0.05201068535663424
37,25,eyeriss,MLP10,only_proxies,42,100,-1643691385.0376158,5232459315.769616,0.4154565588744519,0.08969600037493275
38,25,eyeriss,MLP10,only_one_hot,42,100,0.5148927447802211,0.19000815424383705,0.5577808245189384,0.09281186498358197
39,25,eyeriss,MLP10,features_one_hot,42,100,0.793459680305941,0.1465288623053295,0.7544643862759774,0.07286789943279474
40,25,eyeriss,MLP10,features_proxies,42,100,-303376003.714131,558864729.0451617,0.7531522699537498,0.04972624672580852
41,25,eyeriss,MLP10,features_one_hot_proxies,42,100,-214377512.8179388,461517671.73269886,0.7191515745473115,0.0765563256828255
42,25,eyeriss,MLP10,only_full_features,42,100,0.878758558559718,0.07746765889676122,0.7938237772473944,0.03778455084819756
43,25,eyeriss,MLP10,full_features_one_hot,42,100,0.8777255236788299,0.0788346614684496,0.7962775552927036,0.04290659597086017
44,25,eyeriss,MLP10,full_features_one_hot_proxies,42,100,-22657849.905811764,54296369.80721303,0.77215026237707,0.043651987908455654
45,25,fpga,MLP10,only_features,42,100,0.8856334177463715,0.12013908446519853,0.8346458893896063,0.05549410220277295
46,25,fpga,MLP10,only_proxies,42,100,-631338622.0906997,1298945505.476914,0.67757302981282,0.06962821505637373
47,25,fpga,MLP10,only_one_hot,42,100,0.506218619100329,0.1528853093522821,0.5493151276545339,0.09233511244226952
48,25,fpga,MLP10,features_one_hot,42,100,0.8475138183910965,0.11394891344542138,0.8052426511716917,0.045448144768498136
49,25,fpga,MLP10,features_proxies,42,100,-290152372.1671551,569828385.0306646,0.7936374516896764,0.0572097754094508
50,25,fpga,MLP10,features_one_hot_proxies,42,100,-202844604.90155587,316486767.94547164,0.7869110817456633,0.037339982999461424
51,25,fpga,MLP10,only_full_features,42,100,0.8907019711562765,0.05747751480660042,0.8229448265119059,0.03488560137845679
