,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu_latency,RandomForest,only_features,42,100,0.25836426563213655,0.17042775455035128,0.430719602407062,0.09429958091567571
1,11,edgegpu_latency,RandomForest,only_proxies,42,100,0.28111837974873966,0.18648878653711218,0.41635631774951515,0.11832129615487495
2,11,edgegpu_latency,RandomForest,only_one_hot,42,100,0.157836811986311,0.2554203337312635,0.3514179470576611,0.12868395311418682
3,11,edgegpu_latency,RandomForest,features_one_hot,42,100,0.29357988972015325,0.20011679665285104,0.4685922792600655,0.11351388677004462
4,11,edgegpu_latency,RandomForest,features_proxies,42,100,0.3258460849567115,0.17246589366944431,0.47579465974704666,0.0949264583885257
5,11,edgegpu_latency,RandomForest,features_one_hot_proxies,42,100,0.3391966188597465,0.18484698223910384,0.4964752731463149,0.1085841183622737
6,11,edgegpu_latency,RandomForest,only_full_features,42,100,0.2890938039198047,0.16603502486332483,0.46526309304532576,0.1002166193474215
7,11,edgegpu_latency,RandomForest,full_features_one_hot,42,100,0.3148162869882149,0.17129496439757502,0.4917025907095633,0.10461963621737282
8,11,edgegpu_latency,RandomForest,full_features_one_hot_proxies,42,100,0.3347582438656942,0.16735301093278004,0.5045899021947523,0.09893083642009537
9,11,edgegpu_energy,RandomForest,only_features,42,100,0.2625098733661644,0.17270390882767145,0.4356098967962408,0.09430027307223723
10,11,edgegpu_energy,RandomForest,only_proxies,42,100,0.3207063201053383,0.18388487920503196,0.451921400851028,0.10577531423296473
11,11,edgegpu_energy,RandomForest,only_one_hot,42,100,0.14811893724389055,0.2569347508267477,0.3460417308223252,0.12729115366565025
12,11,edgegpu_energy,RandomForest,features_one_hot,42,100,0.2931214894541684,0.20112035338530931,0.46854038731158654,0.11327158700365997
13,11,edgegpu_energy,RandomForest,features_proxies,42,100,0.3445339151193383,0.17619933650572653,0.4915949114696287,0.10240903303139377
14,11,edgegpu_energy,RandomForest,features_one_hot_proxies,42,100,0.35739002027150996,0.17802803687256222,0.513568236974825,0.10583789205241255
15,11,edgegpu_energy,RandomForest,only_full_features,42,100,0.2894879280081609,0.16790606084909512,0.4710115180922982,0.09748334736935409
16,11,edgegpu_energy,RandomForest,full_features_one_hot,42,100,0.3114449034341684,0.17027322779277337,0.49433595702543287,0.09980921495196998
17,11,edgegpu_energy,RandomForest,full_features_one_hot_proxies,42,100,0.33816702063824045,0.1678735570747149,0.511158627536717,0.09773014988226482
18,11,raspi4_latency,RandomForest,only_features,42,100,0.5290487879664245,0.16989236496348678,0.6019152344957301,0.0921513994123463
19,11,raspi4_latency,RandomForest,only_proxies,42,100,0.5697937863840203,0.1414664142178578,0.6342921479752001,0.06137199988562893
20,11,raspi4_latency,RandomForest,only_one_hot,42,100,0.10838214643761372,0.18848004510732638,0.3018152070871529,0.09855172862855525
21,11,raspi4_latency,RandomForest,features_one_hot,42,100,0.5083809281751909,0.17202775237102613,0.6043054265636905,0.09265194368980488
22,11,raspi4_latency,RandomForest,features_proxies,42,100,0.5372316421994207,0.1523266396202699,0.6285810578438928,0.0798497186369928
23,11,raspi4_latency,RandomForest,features_one_hot_proxies,42,100,0.5200738032466793,0.1558720963071267,0.6263921838529452,0.0800008875995743
24,11,raspi4_latency,RandomForest,only_full_features,42,100,0.4765060847992417,0.163045851625341,0.5993709286260404,0.09602520050582251
25,11,raspi4_latency,RandomForest,full_features_one_hot,42,100,0.4708412296452484,0.16483877860878848,0.5991227440771314,0.0920733765987919
26,11,raspi4_latency,RandomForest,full_features_one_hot_proxies,42,100,0.485982142120929,0.15614545303900482,0.6213889768140775,0.08846686324411926
27,11,edgetpu_latency,RandomForest,only_features,42,100,0.04259025546248191,0.21590029444180922,0.3051038955637309,0.12077379312018151
28,11,edgetpu_latency,RandomForest,only_proxies,42,100,0.09197892862997621,0.19275217931955194,0.35912360649603386,0.11463003418630129
29,11,edgetpu_latency,RandomForest,only_one_hot,42,100,0.06990813787510503,0.26308041492800216,0.28990386729659856,0.12337209897281999
30,11,edgetpu_latency,RandomForest,features_one_hot,42,100,0.11574827504417748,0.23538206566460973,0.3440755638659027,0.13454095099376004
31,11,edgetpu_latency,RandomForest,features_proxies,42,100,0.11143251217522891,0.20134552429191713,0.36391810318875384,0.12524995108969453
32,11,edgetpu_latency,RandomForest,features_one_hot_proxies,42,100,0.14815203059461124,0.2194387587242552,0.38480955635697467,0.1274452857818776
33,11,edgetpu_latency,RandomForest,only_full_features,42,100,0.1061994830254186,0.20135792052444929,0.36645305038376436,0.14809874795437064
34,11,edgetpu_latency,RandomForest,full_features_one_hot,42,100,0.13440212489602799,0.21195655976019678,0.3806152170037095,0.1510652025738568
35,11,edgetpu_latency,RandomForest,full_features_one_hot_proxies,42,100,0.14748683316804803,0.2045541839989947,0.3946739707091155,0.14687669211233503
36,11,pixel3_latency,RandomForest,only_features,42,100,0.49245475369935865,0.17409427626088225,0.5816745414938315,0.08769690792533463
37,11,pixel3_latency,RandomForest,only_proxies,42,100,0.5112945527428364,0.1500203223930434,0.5877487095740734,0.06969520111954092
38,11,pixel3_latency,RandomForest,only_one_hot,42,100,0.09170332966350873,0.1799561710035171,0.2890570062614338,0.0991902799407512
39,11,pixel3_latency,RandomForest,features_one_hot,42,100,0.4714231571909344,0.17821041713758165,0.581415383140707,0.08871410255229395
40,11,pixel3_latency,RandomForest,features_proxies,42,100,0.49213392606560696,0.1605392078100904,0.5980578889999102,0.082197443375783
41,11,pixel3_latency,RandomForest,features_one_hot_proxies,42,100,0.47691756705099825,0.16103313748525477,0.5959694131981282,0.07805037585227319
42,11,pixel3_latency,RandomForest,only_full_features,42,100,0.46078569810898395,0.17887732582954743,0.5943418998777265,0.09596592160207983
