,train_size,target,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,15000,edgegpu_latency,XGBRegressor,only_features,42,100,0.8900241196330569,0.013604270564984167,0.8128734244565433,0.011827761543073143
1,15000,edgegpu_latency,XGBRegressor,only_proxies,42,100,0.816845550841369,0.01920300254456737,0.7422937582323043,0.012823482992817459
2,15000,edgegpu_latency,XGBRegressor,only_one_hot,42,100,0.9804917053864679,0.006405598121723631,0.9306688722457497,0.004560690065167271
3,15000,edgegpu_latency,XGBRegressor,features_one_hot,42,100,0.9805727752551724,0.006545941193360006,0.9307222051212234,0.004796481935851057
4,15000,edgegpu_latency,XGBRegressor,features_proxies,42,100,0.9664412559719863,0.008189304530943756,0.8997862439680963,0.006238769111151933
5,15000,edgegpu_latency,XGBRegressor,features_one_hot_proxies,42,100,0.9811999722604436,0.006656440427767969,0.932015950307818,0.004763783241290268
6,15000,edgegpu_latency,XGBRegressor,only_full_features,42,100,0.9686207617567786,0.00877800902334529,0.913883541682423,0.006418808856285124
7,15000,edgegpu_latency,XGBRegressor,full_features_one_hot,42,100,0.9803536091845995,0.006553024538768503,0.9311696927630396,0.004846812640147513
8,15000,edgegpu_latency,XGBRegressor,full_features_one_hot_proxies,42,100,0.9812901338028839,0.006471156926413115,0.9328171543895697,0.00490258558557074
9,15000,edgegpu_energy,XGBRegressor,only_features,42,100,0.8951360270568324,0.012307548947822912,0.8134590202747107,0.011662495487101448
10,15000,edgegpu_energy,XGBRegressor,only_proxies,42,100,0.8239975834259465,0.017910569257593323,0.7497153410351557,0.012856640054488168
11,15000,edgegpu_energy,XGBRegressor,only_one_hot,42,100,0.9826683807535008,0.004051335489625271,0.9293047380217078,0.004673920746546975
12,15000,edgegpu_energy,XGBRegressor,features_one_hot,42,100,0.9825159926451067,0.004190413278605623,0.9287080951217335,0.00513562135725655
13,15000,edgegpu_energy,XGBRegressor,features_proxies,42,100,0.9708382006015083,0.004837181559192635,0.8981553563703902,0.005989930449202629
14,15000,edgegpu_energy,XGBRegressor,features_one_hot_proxies,42,100,0.9833538085682906,0.003972687338875891,0.9304479175496501,0.004810531201786352
