,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,XGBRegressor,only_features,42,100,0.2175584079972092,0.17903036025716218,0.39546228619947354,0.1040135318824988
1,11,edgegpu,XGBRegressor,only_proxies,42,100,0.013497178820647162,0.32123706238904337,0.34117388794787323,0.10715913130477513
2,11,edgegpu,XGBRegressor,features_proxies,42,100,0.2751707261947308,0.15554271206274672,0.4262918735226135,0.08648627383133901
3,11,eyeriss,XGBRegressor,only_features,42,100,0.3558772187840627,0.19005003637152632,0.5143719556770141,0.1131369418111962
4,11,eyeriss,XGBRegressor,only_proxies,42,100,0.00233701836225097,0.24491000938170762,0.3373013525853938,0.11512466110417018
5,11,eyeriss,XGBRegressor,features_proxies,42,100,0.31422186261248064,0.1671154141761613,0.4875956519357053,0.10585909554317582
6,11,fpga,XGBRegressor,only_features,42,100,0.6729546207058861,0.1439451662892479,0.7045413055774908,0.08373301702797041
7,11,fpga,XGBRegressor,only_proxies,42,100,0.5017884328246321,0.15898540580945275,0.6163334824083964,0.07945996345726128
8,11,fpga,XGBRegressor,features_proxies,42,100,0.673852321041833,0.13482592444756675,0.7044970629911421,0.07736757893939405
9,25,edgegpu,XGBRegressor,only_features,42,100,0.44484242269823193,0.12075703695039972,0.5054288584738583,0.07419646410583294
10,25,edgegpu,XGBRegressor,only_proxies,42,100,0.2873982725992161,0.14756071153411435,0.41680361601418636,0.08051517459561158
11,25,edgegpu,XGBRegressor,features_proxies,42,100,0.47387866970039627,0.12120881125332199,0.511761109236551,0.0714163393329342
12,25,eyeriss,XGBRegressor,only_features,42,100,0.6868534668284706,0.10113664688083533,0.6785834519836252,0.06402556372967527
13,25,eyeriss,XGBRegressor,only_proxies,42,100,0.3217960143794695,0.13050852813806335,0.4740959440215908,0.07738588861051923
14,25,eyeriss,XGBRegressor,features_proxies,42,100,0.6314482715651691,0.11561886430878855,0.6474922573532359,0.06900493391724369
15,25,fpga,XGBRegressor,only_features,42,100,0.8810696448462048,0.03971353488499903,0.8460437588184065,0.025171374901286053
16,25,fpga,XGBRegressor,only_proxies,42,100,0.807340874145404,0.06356717143635462,0.7802282073563407,0.03887800037079042
17,25,fpga,XGBRegressor,features_proxies,42,100,0.8684367153140277,0.041181117977347706,0.8292438943232248,0.029724127413085027
18,55,edgegpu,XGBRegressor,only_features,42,100,0.6459570926812234,0.05450409425211821,0.6182221045417698,0.03301364583564687
19,55,edgegpu,XGBRegressor,only_proxies,42,100,0.44897925221942747,0.06621097760998976,0.48393201071968,0.039913779678304985
20,55,edgegpu,XGBRegressor,features_proxies,42,100,0.6519888125985897,0.06824016791254604,0.609837000991943,0.0366426288633317
21,55,eyeriss,XGBRegressor,only_features,42,100,0.8792806530824187,0.03519598015002208,0.8098041425085124,0.034683125524952056
22,55,eyeriss,XGBRegressor,only_proxies,42,100,0.5341536222992543,0.058914492540174807,0.5772169190243249,0.04372659428947395
23,55,eyeriss,XGBRegressor,features_proxies,42,100,0.8382790282275865,0.04676313417322787,0.7765270014860292,0.0381436225262508
24,55,fpga,XGBRegressor,only_features,42,100,0.9524473476904686,0.015860763423303764,0.9088375624175233,0.011101306236101012
25,55,fpga,XGBRegressor,only_proxies,42,100,0.9036590390381938,0.023202961901483445,0.8465108691762165,0.014600316754475309
26,55,fpga,XGBRegressor,features_proxies,42,100,0.9413880411114108,0.017479639870554817,0.8926049313734785,0.014277311129138838
27,124,edgegpu,XGBRegressor,only_features,42,100,0.7636859724341041,0.030042564376014245,0.6925158045853127,0.017381604814497624
28,124,edgegpu,XGBRegressor,only_proxies,42,100,0.5597261842746422,0.03184828329453078,0.542127341458571,0.018699017934760153
