,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,XGBRegressor,only_full_features,42,100,0.2592904965445302,0.1646768537928648,0.4180887091371774,0.09167105692374747
1,11,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.30447790736716035,0.2552713323678985,0.44572298255093334,0.10798430220478213
2,11,edgegpu,XGBRegressor,full_features_one_hot_proxies,42,100,0.32052382565745574,0.23476966946115435,0.4551951547988047,0.09922479165113134
3,11,eyeriss,XGBRegressor,only_full_features,42,100,0.5042971748728925,0.20270527312882597,0.6048587744402064,0.10853406122688716
4,11,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.4197841544306269,0.24729556882714349,0.5482003911370436,0.12631616982542848
5,11,eyeriss,XGBRegressor,full_features_one_hot_proxies,42,100,0.41789677537767816,0.24726406529514325,0.5490266254345326,0.12674605337411973
6,11,fpga,XGBRegressor,only_full_features,42,100,0.6281745922625727,0.1672155314632824,0.6766572621022121,0.10058141917983993
7,11,fpga,XGBRegressor,full_features_one_hot,42,100,0.528114391129358,0.19392026211398128,0.607585798268118,0.1098490034629226
8,11,fpga,XGBRegressor,full_features_one_hot_proxies,42,100,0.5310336788755818,0.19080804815493896,0.6102925008407268,0.10831089614476717
9,25,edgegpu,XGBRegressor,only_full_features,42,100,0.5079253059804482,0.10259987320749563,0.5450395318608385,0.06316080917516172
10,25,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.6412697618975521,0.1029645880013344,0.639294498793885,0.06210762362783847
11,25,edgegpu,XGBRegressor,full_features_one_hot_proxies,42,100,0.6376955299998787,0.09559599963937666,0.6282170301602944,0.05631268418720553
12,25,eyeriss,XGBRegressor,only_full_features,42,100,0.8926302583724619,0.05778636919156912,0.8590678695029556,0.04493184389134832
13,25,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.8846260086574087,0.06358026861364179,0.8496561031253809,0.047888131253305315
14,25,eyeriss,XGBRegressor,full_features_one_hot_proxies,42,100,0.8825209488906779,0.06712934994082866,0.8495488129192192,0.04813121958800605
15,25,fpga,XGBRegressor,only_full_features,42,100,0.8948340466932525,0.04119757381266588,0.8650183516768115,0.02719938106159729
16,25,fpga,XGBRegressor,full_features_one_hot,42,100,0.8900600198892321,0.0432789369245058,0.8600995495934184,0.030097370305016784
17,25,fpga,XGBRegressor,full_features_one_hot_proxies,42,100,0.8839334487286453,0.04060304925773029,0.8507844139979578,0.031354637218476186
18,55,edgegpu,XGBRegressor,only_full_features,42,100,0.7107344556656443,0.05162866461523558,0.6629713255257897,0.033070688548094904
19,55,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.8063745015061605,0.03323475050761784,0.7427932392427175,0.024011925519692546
20,55,edgegpu,XGBRegressor,full_features_one_hot_proxies,42,100,0.7909942355178291,0.03994352690225897,0.7227470830089383,0.024998559950551405
21,55,eyeriss,XGBRegressor,only_full_features,42,100,0.969991778021385,0.019051276988960423,0.9408020078450806,0.014559435516062157
22,55,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9683477200550524,0.01942019978003811,0.9384395727497311,0.014616648360110998
