,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,Linear,only_one_hot,42,100,0.14261850877036317,0.32272383278025074,0.35903913652145925,0.0934192422549788
1,11,edgegpu,Linear,features_one_hot,42,100,0.3488850176293641,0.4262212521222975,0.5012112697239022,0.12500916923730643
2,11,edgegpu,Linear,features_one_hot_proxies,42,100,-178248768025.53445,274834427661.1904,0.23851935071529012,0.1412480067429674
3,11,eyeriss,Linear,only_one_hot,42,100,0.3639419488053698,0.17945185476605868,0.44574493964650436,0.09815027870942193
4,11,eyeriss,Linear,features_one_hot,42,100,0.8423945112937499,0.07914710976400678,0.8024070219537341,0.05281800408579492
5,11,eyeriss,Linear,features_one_hot_proxies,42,100,-113454602528.32281,180356661931.64474,0.35089641279938255,0.12811191145349046
6,11,fpga,Linear,only_one_hot,42,100,0.28358114130955214,0.3394318127747392,0.424132262591298,0.10511816008824089
7,11,fpga,Linear,features_one_hot,42,100,0.9546049732954441,0.02462739844190461,0.8939349080224265,0.027440718442622275
8,11,fpga,Linear,features_one_hot_proxies,42,100,-21039243874.27407,34621767607.174805,0.5976277519160823,0.11247132891252912
9,25,edgegpu,Linear,only_one_hot,42,100,-49.12952408460882,259.9498928853909,0.30703752377432697,0.20423180416743283
10,25,edgegpu,Linear,features_one_hot,42,100,0.46735699110920076,0.2741473218114266,0.576822968313365,0.10737904848175531
11,25,edgegpu,Linear,features_one_hot_proxies,42,100,-23229056979.447464,49420018859.80014,0.47279789412308415,0.09958536671418657
12,25,eyeriss,Linear,only_one_hot,42,100,0.9929476917202797,0.01988403700411014,0.971917445481653,0.03804830396457147
13,25,eyeriss,Linear,features_one_hot,42,100,0.9865670003467883,0.010322934875524133,0.9179771525739983,0.020810674380434928
14,25,eyeriss,Linear,features_one_hot_proxies,42,100,-2985417499.958115,4757742713.948374,0.7416356755842582,0.0694604961686828
15,25,fpga,Linear,only_one_hot,42,100,0.9944656400545885,0.019781127013543013,0.9763749598573302,0.03375293744669777
16,25,fpga,Linear,features_one_hot,42,100,0.9964055380295117,0.0022823746710870963,0.9680455538497266,0.00992076931058296
17,25,fpga,Linear,features_one_hot_proxies,42,100,-567622758.904691,903855101.0626478,0.8653957795342686,0.054077041932679946
18,55,edgegpu,Linear,only_one_hot,42,100,0.7733733791171334,0.057846868633796275,0.7354907146249406,0.04556755048135653
19,55,edgegpu,Linear,features_one_hot,42,100,0.7190773426502888,0.21923548323710262,0.698520671190608,0.05681425411826992
20,55,edgegpu,Linear,features_one_hot_proxies,42,100,-7655908895.676916,12414124359.003963,0.5232832782706653,0.09070404557486089
21,55,eyeriss,Linear,only_one_hot,42,100,1.0,0.0,0.9866452964739725,0.0005220418478958911
22,55,eyeriss,Linear,features_one_hot,42,100,0.9999993485283318,1.446747049180545e-06,0.9863071057981047,0.0010062077439076454
23,55,eyeriss,Linear,features_one_hot_proxies,42,100,0.9999986424852607,6.337086081740236e-06,0.9849970626422397,0.0006237378918558587
24,55,fpga,Linear,only_one_hot,42,100,1.0,0.0,0.9882898479500953,0.0003463751261711638
25,55,fpga,Linear,features_one_hot,42,100,0.9999998737846529,2.802910504406439e-07,0.9889964203737275,0.0011840170610440699
26,55,fpga,Linear,features_one_hot_proxies,42,100,0.9999997531005143,1.086261607364971e-06,0.98693739407753,6.819461206556371e-05
27,124,edgegpu,Linear,only_one_hot,42,100,0.839427641496255,0.028036930876318273,0.790696947989654,0.029503933372329906
28,124,edgegpu,Linear,features_one_hot,42,100,0.8700105328531478,0.020711349438657902,0.8006505137181738,0.01628966842319264
29,124,edgegpu,Linear,features_one_hot_proxies,42,100,-2568271615908168.5,2.568263115274508e+16,0.7614585438524715,0.06155905408988532
30,124,eyeriss,Linear,only_one_hot,42,100,1.0,0.0,0.9867304988416739,0.0004850811097104006
31,124,eyeriss,Linear,features_one_hot,42,100,0.9999999231137144,5.409153734073165e-07,0.9873291383859096,0.000897379594528025
32,124,eyeriss,Linear,features_one_hot_proxies,42,100,0.9996956317273079,0.0028983576894172822,0.9850354697068313,0.0022258137608236472
33,124,fpga,Linear,only_one_hot,42,100,1.0,0.0,0.9882988095918054,0.0003819198543644284
34,124,fpga,Linear,features_one_hot,42,100,0.9999999850940873,1.04867041953961e-07,0.9901664105134507,0.0011259687343430633
35,124,fpga,Linear,features_one_hot_proxies,42,100,0.9996603283358495,0.0033301285558514754,0.9867765948182037,0.001116938376060763
36,276,edgegpu,Linear,only_one_hot,42,100,0.8607889345647181,0.008593534901740437,0.8122699492249906,0.01682667825024942
37,276,edgegpu,Linear,features_one_hot,42,100,0.8992210028424914,0.009347019829789117,0.831562848983005,0.007647152910898213
38,276,edgegpu,Linear,features_one_hot_proxies,42,100,-63409886.10845054,288868771.3956528,0.8182927806212469,0.013106811859326842
39,276,eyeriss,Linear,only_one_hot,42,100,1.0,0.0,0.9866538700284674,0.0006021589157470751
40,276,eyeriss,Linear,features_one_hot,42,100,1.0,0.0,0.9869751353383552,0.0005363906213359941
41,276,eyeriss,Linear,features_one_hot_proxies,42,100,0.9999999876026255,6.449996298035426e-08,0.9853548044175622,0.00025304803652803615
42,276,fpga,Linear,only_one_hot,42,100,1.0,0.0,0.988314959224008,0.00042178748020327793
43,276,fpga,Linear,features_one_hot,42,100,1.0,0.0,0.9892518668757261,0.0005245104961846865
44,276,fpga,Linear,features_one_hot_proxies,42,100,0.9999999951396394,2.964024889289462e-08,0.9869122188970942,1.5529467406400205e-05
45,614,edgegpu,Linear,only_one_hot,42,100,0.8681889629575126,0.018688571953154782,0.8224447135539633,0.016453079745578875
46,614,edgegpu,Linear,features_one_hot,42,100,0.9097349671304151,0.0026077943588992754,0.8447457578719408,0.00441192466194413
47,614,edgegpu,Linear,features_one_hot_proxies,42,100,-2018027.017267028,6725269.583404369,0.8377770275879557,0.005708205739599013
48,614,eyeriss,Linear,only_one_hot,42,100,1.0,0.0,0.9864105653250885,0.0005291675211624741
