,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,Linear,only_full_features,42,100,0.33694011252855494,0.30565776610825,0.4901970460996799,0.1266233558911351
1,11,edgegpu,Linear,full_features_one_hot,42,100,0.3509419247115151,0.3000854273342525,0.49415164643258075,0.12595278065531063
2,11,edgegpu,Linear,full_features_one_hot_proxies,42,100,-77354612441.2037,86445186098.50415,0.28750593679477804,0.12602702163117832
3,11,eyeriss,Linear,only_full_features,42,100,0.7877692676077547,0.09326304015882965,0.7604889606476148,0.05656965989506595
4,11,eyeriss,Linear,full_features_one_hot,42,100,0.7902485912761509,0.09274904302085689,0.7648488905051114,0.05533085847340004
5,11,eyeriss,Linear,full_features_one_hot_proxies,42,100,-44639024792.82451,58942301418.93656,0.4027572074757478,0.12268067645956851
6,11,fpga,Linear,only_full_features,42,100,0.9419287322074159,0.026799851577993136,0.874733868927481,0.023240894575681
7,11,fpga,Linear,full_features_one_hot,42,100,0.9416180721239615,0.028683133301095214,0.8756188241087034,0.023209486429296766
8,11,fpga,Linear,full_features_one_hot_proxies,42,100,-8185297877.141102,11190486127.180893,0.649523957792857,0.09718292675557057
9,25,edgegpu,Linear,only_full_features,42,100,0.5725458125945496,0.15882328361485848,0.6032575600465466,0.06663330858954444
10,25,edgegpu,Linear,full_features_one_hot,42,100,0.6290313966993197,0.13608462304191038,0.6283762358134375,0.0647706680597699
11,25,edgegpu,Linear,full_features_one_hot_proxies,42,100,-21173121454.469738,44274321302.57839,0.4895156326853982,0.09330467494678689
12,25,eyeriss,Linear,only_full_features,42,100,0.9262980826511322,0.023941571311914808,0.8403321456274798,0.023147205348705964
13,25,eyeriss,Linear,full_features_one_hot,42,100,0.938598753649504,0.023277415648882863,0.8552163320586703,0.023119652452147338
14,25,eyeriss,Linear,full_features_one_hot_proxies,42,100,-3432851458.3825474,5426946460.921051,0.6963655623932645,0.06942487130577292
15,25,fpga,Linear,only_full_features,42,100,0.9817804218282096,0.006701752927948863,0.9256491017321682,0.011760626794603646
16,25,fpga,Linear,full_features_one_hot,42,100,0.9851419707401124,0.005495195495779274,0.9327895799221636,0.011251293063030805
17,25,fpga,Linear,full_features_one_hot_proxies,42,100,-652178224.6539625,1055477664.1043459,0.8390318608714823,0.058294956700755095
18,55,edgegpu,Linear,only_full_features,42,100,0.16342354206339846,0.3927771196176795,0.5041829379213772,0.08729653515537503
19,55,edgegpu,Linear,full_features_one_hot,42,100,0.6111308204727559,0.1324140680815562,0.6290390853859307,0.06050302841223939
20,55,edgegpu,Linear,full_features_one_hot_proxies,42,100,-5061952621.149746,7734073909.949306,0.6006504102116422,0.055018999159431814
21,55,eyeriss,Linear,only_full_features,42,100,0.9932952286264873,0.0041817058916025045,0.9259762745891054,0.017755027803949726
22,55,eyeriss,Linear,full_features_one_hot,42,100,0.993393746118993,0.003209388613544075,0.9262955537917739,0.01480128896438803
23,55,eyeriss,Linear,full_features_one_hot_proxies,42,100,-109069905.69483389,189983464.8125623,0.87089346908224,0.03190747029072174
24,55,fpga,Linear,only_full_features,42,100,0.9983467894383833,0.0009582235405946627,0.9772003811442577,0.005912933351309262
25,55,fpga,Linear,full_features_one_hot,42,100,0.9984870718722942,0.000663495568789585,0.9781712261130636,0.004245048931278509
26,55,fpga,Linear,full_features_one_hot_proxies,42,100,-20212624.821095698,34903861.73268153,0.9446673666590018,0.02363216067729539
27,124,edgegpu,Linear,only_full_features,42,100,0.6793697881356503,0.10774809962015044,0.6517071362487394,0.04255791177556305
28,124,edgegpu,Linear,full_features_one_hot,42,100,0.7535815532293018,0.06775263251584926,0.6965057758349318,0.039491124914408975
29,124,edgegpu,Linear,full_features_one_hot_proxies,42,100,-887811958.5858551,1841328061.1995127,0.6446392309312695,0.04884419475467399
30,124,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.985872137703664,0.000338462064392811
31,124,eyeriss,Linear,full_features_one_hot,42,100,0.9999803172247429,7.639262144010861e-05,0.985891127084935,0.0004946989363507138
32,124,eyeriss,Linear,full_features_one_hot_proxies,42,100,0.9999803048419074,7.6402977840162e-05,0.985236854495228,0.0004492265346419459
33,124,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9878991234980323,0.0004484931792585659
34,124,fpga,Linear,full_features_one_hot,42,100,0.9999942000938319,1.4053608454614039e-05,0.9881646307684301,0.0005184515916088118
35,124,fpga,Linear,full_features_one_hot_proxies,42,100,0.9999941947916738,1.4061078043682732e-05,0.9869108179096847,2.0276687802328957e-05
36,276,edgegpu,Linear,only_full_features,42,100,0.8448582585370454,0.014270731121775022,0.7508758886760404,0.01005894026525445
37,276,edgegpu,Linear,full_features_one_hot,42,100,-3.4328873488552252e+16,2.8957961371797395e+17,0.8079103585196993,0.012188698622749081
38,276,edgegpu,Linear,full_features_one_hot_proxies,42,100,-131514532.69082542,593587053.4853699,0.7989878542622694,0.01575019399419683
39,276,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9861246261773224,0.0004565038502924053
