,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,MLP,only_features,42,100,-2.4738233268495105,3.137461798465127,0.413571374156055,0.09159796414937835
1,11,edgegpu,MLP,only_proxies,42,100,-307029812.13691825,1152618831.6376274,0.10251461773703432,0.1548994500296001
2,11,edgegpu,MLP,only_one_hot,42,100,-0.38223492658413477,1.1135005392547719,0.23640665987035533,0.13050273881302996
3,11,edgegpu,MLP,features_one_hot,42,100,-1.6627450456693538,3.0781589560610163,0.43203748820169713,0.15208543376585468
4,11,edgegpu,MLP,features_proxies,42,100,-63316654.407390736,203846017.87647223,0.09114221695786769,0.17189298160865057
5,11,edgegpu,MLP,features_one_hot_proxies,42,100,-109871786.61797805,273646091.97828084,0.1264056814214166,0.14819340856797011
6,11,edgegpu,MLP,only_full_features,42,100,-1.9042256598388976,3.2649467444766502,0.44905051672024365,0.12651569121668044
7,11,edgegpu,MLP,full_features_one_hot,42,100,-2.4659110627070477,3.49792555425879,0.4362068856519119,0.11140544174217892
8,11,edgegpu,MLP,full_features_one_hot_proxies,42,100,-66490367.14208293,192122792.8885103,0.12849730902278245,0.18390210853367706
9,11,eyeriss,MLP,only_features,42,100,-0.0649031837926987,0.9385198929219162,0.46666650618673927,0.27679457975095556
10,11,eyeriss,MLP,only_proxies,42,100,-234650335.10488862,1150631807.2650907,0.13745345042224227,0.1904905825363214
11,11,eyeriss,MLP,only_one_hot,42,100,-0.046137617286444596,0.20695440408897936,0.15836413803460586,0.1888392313746154
12,11,eyeriss,MLP,features_one_hot,42,100,-0.0744060096655715,1.0816147324188004,0.5112986214380153,0.2885369332540633
13,11,eyeriss,MLP,features_proxies,42,100,-205036234.39541528,1202735687.9341495,0.1629509040477639,0.2037291151022924
14,11,eyeriss,MLP,features_one_hot_proxies,42,100,-52659441.57986433,211870674.52445313,0.1743069752287034,0.1975981763711119
15,11,eyeriss,MLP,only_full_features,42,100,-0.04407893357297629,1.0678692817320719,0.49673258406704257,0.34244102979150304
16,11,eyeriss,MLP,full_features_one_hot,42,100,0.09950344078523832,0.7863530125334853,0.5135153108405168,0.35162131941141533
17,11,eyeriss,MLP,full_features_one_hot_proxies,42,100,-39233322.87527238,137162422.13357958,0.2122190027937543,0.22506667896534316
18,11,fpga,MLP,only_features,42,100,-2.0493774292252156,3.674999895559271,0.8109791371722246,0.15108235211208831
19,11,fpga,MLP,only_proxies,42,100,-141474160.21833593,317580912.366797,0.3116209267674723,0.26073575862389453
20,11,fpga,MLP,only_one_hot,42,100,-0.6150477730196535,1.8102958569985397,0.2755286514727953,0.18170336025020398
21,11,fpga,MLP,features_one_hot,42,100,-1.8075388771276473,3.7527313747985955,0.8234006564008722,0.04789970638515896
22,11,fpga,MLP,features_proxies,42,100,-285236012.63502336,1597930387.097372,0.3245745641786709,0.2810895833796764
23,11,fpga,MLP,features_one_hot_proxies,42,100,-87842265.14432415,209842445.2229284,0.3894514782312327,0.27444139448751614
24,11,fpga,MLP,only_full_features,42,100,-2.0187948271188225,3.7991824743091978,0.8117274576482292,0.07430936537236638
25,11,fpga,MLP,full_features_one_hot,42,100,-2.704754299627892,4.019871437329338,0.7936390019852777,0.12765681669270326
26,11,fpga,MLP,full_features_one_hot_proxies,42,100,-68228466.13668211,159418864.05499592,0.34742540336953154,0.27891426693502924
27,25,edgegpu,MLP,only_features,42,100,-2.2312768816241677,3.068729604154508,0.4620835012761442,0.10784377031148504
28,25,edgegpu,MLP,only_proxies,42,100,-103190533.5935397,409150156.2117905,0.1567156160615158,0.1833961490953802
29,25,edgegpu,MLP,only_one_hot,42,100,-0.14655311548948377,1.0307544209264268,0.332639463246247,0.20224531899407724
30,25,edgegpu,MLP,features_one_hot,42,100,-1.5532683615303,3.154648715004714,0.5155185825169639,0.12545574911589533
31,25,edgegpu,MLP,features_proxies,42,100,-53698799.993907385,184524551.29834852,0.19145056017900233,0.19250659465449124
32,25,edgegpu,MLP,features_one_hot_proxies,42,100,-76545699.98014155,439437383.3009857,0.16860348678357912,0.19963528981644427
33,25,edgegpu,MLP,only_full_features,42,100,-2.0078701734246938,3.4282653208601763,0.5101060150105363,0.14734105767257552
34,25,edgegpu,MLP,full_features_one_hot,42,100,-1.9514056971157507,3.575625742396493,0.519006663083026,0.14998706513102256
35,25,edgegpu,MLP,full_features_one_hot_proxies,42,100,-45056971.21087091,121642435.06142485,0.21297073099526376,0.2485950675577072
36,25,eyeriss,MLP,only_features,42,100,0.20387754804624045,0.8030135131394105,0.5790930626953988,0.2899531144585023
37,25,eyeriss,MLP,only_proxies,42,100,-131382771.98242162,1048188299.2370883,0.1966567362180316,0.19689572180955048
38,25,eyeriss,MLP,only_one_hot,42,100,0.04205171302447766,0.2995655368574226,0.2263120911825246,0.26380049294974744
39,25,eyeriss,MLP,features_one_hot,42,100,0.08326465605805174,0.6158406974529358,0.453160205134866,0.40280968893195745
40,25,eyeriss,MLP,features_proxies,42,100,-28887087.072359204,130930004.52523968,0.19850364749236848,0.23187508178216448
41,25,eyeriss,MLP,features_one_hot_proxies,42,100,-91373441.00898531,572255705.1852715,0.22143783806750206,0.2134189198182782
42,25,eyeriss,MLP,only_full_features,42,100,0.12642809155475285,0.8473138758579849,0.5663332572525314,0.31436020440625856
43,25,eyeriss,MLP,full_features_one_hot,42,100,0.25284942069897925,0.7061104367450441,0.5802262187283393,0.3420323430554999
44,25,eyeriss,MLP,full_features_one_hot_proxies,42,100,-21423513.85459661,114367377.60277423,0.2195354777978546,0.24637052963575748
45,25,fpga,MLP,only_features,42,100,-1.9693018793828088,3.8488274957801396,0.8559240003712877,0.0794607368023412
46,25,fpga,MLP,only_proxies,42,100,-26882032.240673162,79307272.6817304,0.33372044012485275,0.33731790115012245
47,25,fpga,MLP,only_one_hot,42,100,-0.3178961975744392,1.771016370721238,0.4202024607116143,0.25784975099382546
48,25,fpga,MLP,features_one_hot,42,100,-1.9740206246988585,3.781050885975628,0.8405736266814801,0.0787660123790533
49,25,fpga,MLP,features_proxies,42,100,-150178772.88833198,700649659.1507758,0.29971041706423723,0.33897066569975676
50,25,fpga,MLP,features_one_hot_proxies,42,100,-126541438.83393297,678500045.8112701,0.3470396372376917,0.3556349885425583
51,25,fpga,MLP,only_full_features,42,100,-3.0660171970805807,4.161404211197303,0.7877959171030029,0.2056673089006668
52,25,fpga,MLP,full_features_one_hot,42,100,-2.5876691693382794,4.229297732104627,0.8285805081064751,0.11952638399874577
53,25,fpga,MLP,full_features_one_hot_proxies,42,100,-74382194.71242432,247962571.26664165,0.44560599453467475,0.3635671614885175
54,55,edgegpu,MLP,only_features,42,100,-1.1527919550721075,2.8920639930401957,0.5318276050846626,0.1395442300427093
55,55,edgegpu,MLP,only_proxies,42,100,-30614489.270617772,153249446.5897868,0.203315766952921,0.2133415038584518
56,55,edgegpu,MLP,only_one_hot,42,100,-0.43547489622152485,1.8773357519294276,0.4234451664733768,0.2890759804076353
57,55,edgegpu,MLP,features_one_hot,42,100,-1.745289179982474,3.396599720648942,0.5525710768605964,0.2044077655736555
58,55,edgegpu,MLP,features_proxies,42,100,-104902697.92204632,464356009.44102395,0.23703334936929696,0.25102456687927616
59,55,edgegpu,MLP,features_one_hot_proxies,42,100,-43151034.3939251,237906751.26688248,0.2053102276128255,0.27047195326269463
60,55,edgegpu,MLP,only_full_features,42,100,-2.026905580995495,3.7041247712597487,0.5322969390907226,0.18300234826696501
61,55,edgegpu,MLP,full_features_one_hot,42,100,-1.646346424014232,3.372978903008014,0.5594341917914142,0.18450230966919132
62,55,edgegpu,MLP,full_features_one_hot_proxies,42,100,-42468423.915036805,227480635.45486432,0.2675137327038692,0.310637973354362
63,55,eyeriss,MLP,only_features,42,100,0.14617032732233987,0.45896496045153073,0.4932767962435555,0.391801769233971
64,55,eyeriss,MLP,only_proxies,42,100,-8804339.71311794,38107294.61814994,0.1702306958169763,0.2027293679371354
65,55,eyeriss,MLP,only_one_hot,42,100,0.05186942987363142,0.2950692353264493,0.19341472443177687,0.2970663677278401
66,55,eyeriss,MLP,features_one_hot,42,100,0.19043822213028697,0.7787056302180262,0.5782428640596595,0.36006314184624305
67,55,eyeriss,MLP,features_proxies,42,100,-38868350.59919029,312007769.5121041,0.17418585811239873,0.24235413152309346
68,55,eyeriss,MLP,features_one_hot_proxies,42,100,-16983360.998550344,117026639.7509877,0.16807352351788396,0.23382385378316595
69,55,eyeriss,MLP,only_full_features,42,100,0.25943799216227836,0.6251416675960948,0.5215967861276951,0.4100211019481864
70,55,eyeriss,MLP,full_features_one_hot,42,100,0.20786606739607982,0.6690493626210741,0.5622151317491213,0.3676591900269769
71,55,eyeriss,MLP,full_features_one_hot_proxies,42,100,-15717334.698129741,53473987.27065779,0.23062734013527852,0.2841271308361769
72,55,fpga,MLP,only_features,42,100,-2.3427100430759005,3.8262114185811047,0.8540071120377718,0.08424895599851016
73,55,fpga,MLP,only_proxies,42,100,-35984912.93548964,188338670.3617465,0.34891123851272376,0.3352019499001555
74,55,fpga,MLP,only_one_hot,42,100,-0.39175722962855963,2.1835909705545786,0.5349517644720989,0.35997880735536175
75,55,fpga,MLP,features_one_hot,42,100,-2.1434013621446315,3.7943742040337685,0.8607643334517837,0.09365715580007578
76,55,fpga,MLP,features_proxies,42,100,-73874111.84181398,556427370.0309606,0.34110102953527355,0.4068899575745578
77,55,fpga,MLP,features_one_hot_proxies,42,100,-15553177.054591011,75677332.08160846,0.3643643095547028,0.4014372818144099
78,55,fpga,MLP,only_full_features,42,100,-3.2148756482940275,4.259417749958934,0.8182521818352438,0.16786249930997732
79,55,fpga,MLP,full_features_one_hot,42,100,-3.1460251045816334,4.2069787922679565,0.8301764973142659,0.1334776819656304
80,55,fpga,MLP,full_features_one_hot_proxies,42,100,-23281280.05818873,100856415.4074773,0.4910409171244593,0.37191180087914877
81,124,edgegpu,MLP,only_features,42,100,-1.7546199013989103,3.3037119005063893,0.5288730483324279,0.15905005813069537
82,124,edgegpu,MLP,only_proxies,42,100,-3449519.124896264,26343643.372062705,0.206058236681427,0.23349020857657948
83,124,edgegpu,MLP,only_one_hot,42,100,-0.14651116920580828,1.6431929061904855,0.4682944838492949,0.3256144302355653
84,124,edgegpu,MLP,features_one_hot,42,100,-2.2234258445501665,3.5849594718378692,0.5741354037655547,0.20507261012577535
85,124,edgegpu,MLP,features_proxies,42,100,-1466209.7356363616,7784916.275413181,0.2136400536921117,0.29291663503575305
86,124,edgegpu,MLP,features_one_hot_proxies,42,100,-708374.1613828216,4849947.622210966,0.2561595498023656,0.29958800073144376
87,124,edgegpu,MLP,only_full_features,42,100,-3.040296740741525,3.9378380441480196,0.5141185888994094,0.18661664306016823
88,124,edgegpu,MLP,full_features_one_hot,42,100,-2.713137518345795,3.8684940735438884,0.5156044576419704,0.23857520938980165
89,124,edgegpu,MLP,full_features_one_hot_proxies,42,100,-1387396.4388093906,9049233.828826291,0.2309988900955754,0.33349029879349873
90,124,eyeriss,MLP,only_features,42,100,0.27706350766050164,0.49679056852088,0.6094333828770723,0.304597655053156
91,124,eyeriss,MLP,only_proxies,42,100,-97829.17666559329,387318.83650576626,0.12472373762603951,0.18293210841426813
92,124,eyeriss,MLP,only_one_hot,42,100,0.07049201464237217,0.3258461635439854,0.21957551443442838,0.3317345925348006
93,124,eyeriss,MLP,features_one_hot,42,100,0.2908678389723714,0.7959984901467081,0.6254047209926726,0.3501879294506943
94,124,eyeriss,MLP,features_proxies,42,100,-161635.74621118454,800609.3948220677,0.11603463457175389,0.20341569132813025
95,124,eyeriss,MLP,features_one_hot_proxies,42,100,-353733.1876360591,2548805.2520075007,0.22210413417096753,0.2417436108091416
96,124,eyeriss,MLP,only_full_features,42,100,0.33727701884663364,0.849733853949691,0.6699215721595471,0.2561059507215296
97,124,eyeriss,MLP,full_features_one_hot,42,100,0.15379954944059004,1.7022922708478367,0.6198242360361308,0.3685490849057751
98,124,eyeriss,MLP,full_features_one_hot_proxies,42,100,-2348354.4520704993,13785349.135923387,0.2161551123181742,0.283402767662523
99,124,fpga,MLP,only_features,42,100,-1.8881465203525725,3.8759930420897666,0.8799533160497904,0.0949277914708952
100,124,fpga,MLP,only_proxies,42,100,-415823.05844572076,2277556.06144802,0.29615206841558295,0.3684347823987188
101,124,fpga,MLP,only_one_hot,42,100,-0.08002005406325738,1.7085093274957779,0.6007314315674742,0.3747059566344965
102,124,fpga,MLP,features_one_hot,42,100,-2.6345670644477828,4.049092267121436,0.8522738737184034,0.12572840510717756
103,124,fpga,MLP,features_proxies,42,100,-324836.1673065491,2407736.3356110244,0.3565096176818099,0.4073039921328333
104,124,fpga,MLP,features_one_hot_proxies,42,100,-1792758.3781674067,10596706.469605494,0.36249166220136325,0.3969449178200403
105,124,fpga,MLP,only_full_features,42,100,-1.8255605984313512,3.882105561299541,0.8782038410003762,0.10851044313403048
106,124,fpga,MLP,full_features_one_hot,42,100,-3.0749320838369876,4.280907008825671,0.8332590248976768,0.17652379585756905
107,124,fpga,MLP,full_features_one_hot_proxies,42,100,-4216041.051719416,27722145.224298798,0.36721977165426195,0.44419495295884076
108,276,edgegpu,MLP,only_features,42,100,0.6288752771498252,0.680450996341009,0.7062050186719059,0.07815319932282241
109,276,edgegpu,MLP,only_proxies,42,100,-47196.283334277876,402618.15877873125,0.2547756722139069,0.28754543608328914
110,276,edgegpu,MLP,only_one_hot,42,100,0.7675450249947445,0.32409401776896185,0.7816952460159545,0.15102056391746804
111,276,edgegpu,MLP,features_one_hot,42,100,0.8688032116430159,0.08489748270962438,0.8303624050052006,0.03954084785571788
112,276,edgegpu,MLP,features_proxies,42,100,-520098.32283659617,3709735.7071860693,0.3012614702771135,0.30124832448299516
113,276,edgegpu,MLP,features_one_hot_proxies,42,100,-196626.70949576405,1595718.632879198,0.34216592593638073,0.3312839133083879
114,276,edgegpu,MLP,only_full_features,42,100,0.43130072010815035,1.34321726652543,0.7195275116518869,0.15920433549117116
115,276,edgegpu,MLP,full_features_one_hot,42,100,0.7250820640743221,0.7112730810384816,0.8038480827454633,0.10375491480918726
116,276,edgegpu,MLP,full_features_one_hot_proxies,42,100,-15248.297735502802,151804.42664079275,0.34041819620215996,0.374812025126245
117,276,eyeriss,MLP,only_features,42,100,0.8196096516218244,0.36665977555867274,0.8669009724699059,0.13774086066651364
118,276,eyeriss,MLP,only_proxies,42,100,-24069.359609062685,145314.18714637577,0.25150770343132844,0.23211609407741815
119,276,eyeriss,MLP,only_one_hot,42,100,0.3595382217665602,0.48189565319842387,0.48861666646023083,0.38196132106165714
120,276,eyeriss,MLP,features_one_hot,42,100,0.7859102741959327,0.39509770938960964,0.8658344141407842,0.13937931902751988
121,276,eyeriss,MLP,features_proxies,42,100,-18053.924705286496,173447.34345801474,0.3204129953290974,0.2605565999069046
122,276,eyeriss,MLP,features_one_hot_proxies,42,100,-5387.2812281535225,46870.12732161735,0.3396760501860585,0.3053293533314033
123,276,eyeriss,MLP,only_full_features,42,100,0.8882611590699447,0.2658215934132432,0.866043728925181,0.0857480602809882
124,276,eyeriss,MLP,full_features_one_hot,42,100,0.909728374180342,0.26650315719468404,0.9002449052295249,0.09028263764774738
125,276,eyeriss,MLP,full_features_one_hot_proxies,42,100,-15310.679930488315,145625.60983990922,0.41664141151152784,0.35869157349386604
126,276,fpga,MLP,only_features,42,100,0.510337964589029,1.7749232774443353,0.9510072449604902,0.11783622520706032
127,276,fpga,MLP,only_proxies,42,100,-436034.88316891284,3831704.5213515842,0.39477505431823184,0.39705131422572343
128,276,fpga,MLP,only_one_hot,42,100,0.9025928686611835,0.29349842057705056,0.911565260255173,0.19714568560171353
129,276,fpga,MLP,features_one_hot,42,100,0.9646503657057748,0.24628073016568042,0.9794186026966769,0.029849952446092773
130,276,fpga,MLP,features_proxies,42,100,-853765.6246576865,8535761.66899511,0.4944599933689733,0.4473548958215945
131,276,fpga,MLP,features_one_hot_proxies,42,100,-12698.213625834273,102973.86531824763,0.4458268542386525,0.4652940215731914
132,276,fpga,MLP,only_full_features,42,100,0.31312127764524,1.9621812937206673,0.9357444197944408,0.08160501753083982
133,276,fpga,MLP,full_features_one_hot,42,100,0.6291858840959159,1.465690255556965,0.9562781905460228,0.07353817053658274
134,276,fpga,MLP,full_features_one_hot_proxies,42,100,-106211.57280601609,865450.8735438543,0.5711444389475689,0.46686446166651674
135,614,edgegpu,MLP,only_features,42,100,0.7414686910480515,0.07867252265506408,0.7313023433079866,0.015869467409686228
136,614,edgegpu,MLP,only_proxies,42,100,-31.301878965862684,119.10303753521009,0.2943697817021519,0.27373841024797985
137,614,edgegpu,MLP,only_one_hot,42,100,0.898472390405513,0.09640017521449043,0.8580564923816211,0.07464940762148253
138,614,edgegpu,MLP,features_one_hot,42,100,0.8733439304063788,0.08811328824601916,0.8425160085198466,0.015920927894450487
139,614,edgegpu,MLP,features_proxies,42,100,-289.11145875880516,1947.7499088821382,0.3295920695079775,0.2898924082288968
140,614,edgegpu,MLP,features_one_hot_proxies,42,100,-8990.91117464598,89750.62879606668,0.33447962968934186,0.3339967196320253
141,614,edgegpu,MLP,only_full_features,42,100,0.8126274633303734,0.10255310573914572,0.7807741654329756,0.016611034662758897
142,614,edgegpu,MLP,full_features_one_hot,42,100,0.8823969160623357,0.06177679398362396,0.8399373084170857,0.021940433585591907
143,614,edgegpu,MLP,full_features_one_hot_proxies,42,100,-27.332729977732924,163.04518665371,0.3349807894904941,0.4188138519784047
144,614,eyeriss,MLP,only_features,42,100,0.9743199334181295,0.11263937147298056,0.9370881815420553,0.03922253787605136
145,614,eyeriss,MLP,only_proxies,42,100,-233.91356432902413,1044.4320788967325,0.3632998583280001,0.2578291616212924
146,614,eyeriss,MLP,only_one_hot,42,100,0.513078456167588,0.50233216847408,0.6189806769986967,0.40450201936863006
