,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,MLP,only_features,42,100,0.14461640008413076,0.4145993309166913,0.46986904651172845,0.09870378931145807
1,11,edgegpu,MLP,only_proxies,42,100,-5005234835.449821,8079613238.629826,0.17409559844579484,0.1589562420389409
2,11,edgegpu,MLP,only_one_hot,42,100,-0.07412347389189118,0.2962414641627253,0.30488902630527454,0.1053308580273787
3,11,edgegpu,MLP,features_one_hot,42,100,0.21833371592163997,0.3276245810542556,0.48937271582222935,0.08703273332843188
4,11,edgegpu,MLP,features_proxies,42,100,-4743686786.8080635,9117419819.717997,0.22728764132247836,0.16304202086041333
5,11,edgegpu,MLP,features_one_hot_proxies,42,100,-3821720215.01365,7760779743.592074,0.21388571438697607,0.14421497643286676
6,11,edgegpu,MLP,only_full_features,42,100,0.34517153080961627,0.2343406731846585,0.510293490600387,0.10128728469252321
7,11,edgegpu,MLP,full_features_one_hot,42,100,0.38218174637370256,0.20717477667173834,0.5197934170328091,0.10371868293459151
8,11,edgegpu,MLP,full_features_one_hot_proxies,42,100,-4603508406.133193,8165019276.106542,0.2350843719907464,0.18833775407463124
9,11,eyeriss,MLP,only_features,42,100,-0.9867291020876428,4.5804533662872124,0.5478358187588497,0.1385973482284054
10,11,eyeriss,MLP,only_proxies,42,100,-1481997871811.4194,4286880419097.483,0.09951758760878918,0.17154013511777141
11,11,eyeriss,MLP,only_one_hot,42,100,0.12347686152206241,0.2502643342491901,0.3343951753579202,0.11602323684643641
12,11,eyeriss,MLP,features_one_hot,42,100,-0.6541947189811917,4.145285349351375,0.5505917675056937,0.14893957916796854
13,11,eyeriss,MLP,features_proxies,42,100,-973449564247.4023,1638479824652.943,0.10232997985482653,0.22755931437331334
14,11,eyeriss,MLP,features_one_hot_proxies,42,100,-806212417561.6544,1145998267204.6443,0.1085357433640667,0.2082092510184897
15,11,eyeriss,MLP,only_full_features,42,100,0.6633783421029471,0.206141715487203,0.7109811655770697,0.09097072340911333
16,11,eyeriss,MLP,full_features_one_hot,42,100,0.6342890021911747,0.31564960728358527,0.7060987310940082,0.09206626847218681
17,11,eyeriss,MLP,full_features_one_hot_proxies,42,100,-1713514618232.6125,3467985495827.6343,0.1381835730805077,0.21019085997257717
18,11,fpga,MLP,only_features,42,100,0.8306359634388728,0.17856528185464843,0.8248245978404942,0.04146203425462096
19,11,fpga,MLP,only_proxies,42,100,-3212391141.160795,5707934152.230111,0.37311581926929094,0.2592882795921073
20,11,fpga,MLP,only_one_hot,42,100,0.07113220054736406,0.34594128497945803,0.3563871069338713,0.11781248701552835
21,11,fpga,MLP,features_one_hot,42,100,0.815788920353216,0.15371647570309266,0.814316128079328,0.037356650545925366
22,11,fpga,MLP,features_proxies,42,100,-2913722814.6090612,7155458388.873648,0.41844017084469576,0.24121263772023863
23,11,fpga,MLP,features_one_hot_proxies,42,100,-2439136352.310757,3660373180.0916815,0.4130479272756022,0.24309907098625946
24,11,fpga,MLP,only_full_features,42,100,0.9177790748807801,0.10430399344069788,0.8737208401567212,0.03092904320020012
25,11,fpga,MLP,full_features_one_hot,42,100,0.9123933085670697,0.1488498283147659,0.8722959334054496,0.028425790380476428
26,11,fpga,MLP,full_features_one_hot_proxies,42,100,-3559790437.4723115,5998582812.021618,0.5119210887299275,0.19478083506530822
27,25,edgegpu,MLP,only_features,42,100,0.4555285998740476,0.15774740346017777,0.5657893213735007,0.06883736597243893
28,25,edgegpu,MLP,only_proxies,42,100,-3240332638.4035053,5550913473.937093,0.22037437333505736,0.16598386757826677
29,25,edgegpu,MLP,only_one_hot,42,100,0.4609128666457418,0.17120633470819344,0.5237673967090297,0.08465532397632583
30,25,edgegpu,MLP,features_one_hot,42,100,0.5732373112533489,0.13470237496220394,0.6092575193162042,0.05897004166795926
31,25,edgegpu,MLP,features_proxies,42,100,-3928442487.224143,7825026828.36432,0.26892508710702745,0.18590804324410903
32,25,edgegpu,MLP,features_one_hot_proxies,42,100,-2585471019.128131,5738911862.629094,0.26991499544242853,0.17676531561297706
33,25,edgegpu,MLP,only_full_features,42,100,0.5834872076834673,0.22825147789244504,0.6236639709589092,0.06701371916451507
34,25,edgegpu,MLP,full_features_one_hot,42,100,0.628195710424977,0.22205177293434897,0.644038992685605,0.061316818172879324
35,25,edgegpu,MLP,full_features_one_hot_proxies,42,100,-2028442587.706561,4638152925.5736685,0.3178448114761379,0.18604870502157658
36,25,eyeriss,MLP,only_features,42,100,0.18541637463076388,2.5637301336478537,0.6939368401944721,0.12871299551028023
37,25,eyeriss,MLP,only_proxies,42,100,-1171501928330.7585,2075767499762.8474,0.10438256918450742,0.18412546973619293
38,25,eyeriss,MLP,only_one_hot,42,100,0.5298274972541633,0.14738469682592728,0.5460396665776707,0.08716532650177077
39,25,eyeriss,MLP,features_one_hot,42,100,-0.2885017929615111,4.65631578163237,0.6766291693581183,0.1269111506251175
40,25,eyeriss,MLP,features_proxies,42,100,-845282525386.9113,1542669598461.2388,0.11523869358655926,0.19119253633233962
41,25,eyeriss,MLP,features_one_hot_proxies,42,100,-660040517547.185,1809916158116.4478,0.09816778719597939,0.22144404661389064
42,25,eyeriss,MLP,only_full_features,42,100,0.8154013762820383,0.30069817146789957,0.787227732862294,0.10618320797154225
43,25,eyeriss,MLP,full_features_one_hot,42,100,0.8356978954996369,0.22872434600797112,0.7994440484563069,0.1113927654612483
44,25,eyeriss,MLP,full_features_one_hot_proxies,42,100,-554855949934.782,1765981426532.1218,0.17921652829244814,0.20374235014213335
45,25,fpga,MLP,only_features,42,100,0.967533913939632,0.01637055587041307,0.9127359166514998,0.023060251626010265
46,25,fpga,MLP,only_proxies,42,100,-2367404969.1149855,4912133787.123994,0.4128462147612308,0.27905069978770036
47,25,fpga,MLP,only_one_hot,42,100,0.6914240842303417,0.11008672510470646,0.6576002636119594,0.07302909452703295
48,25,fpga,MLP,features_one_hot,42,100,0.9592755646241752,0.018916084433824126,0.8998876781492788,0.02424548984314833
49,25,fpga,MLP,features_proxies,42,100,-2002362746.7440073,3677625441.6789327,0.4494949259640608,0.2645928116885384
50,25,fpga,MLP,features_one_hot_proxies,42,100,-2264417331.7380896,4738069871.029362,0.469191821031676,0.2531768457593934
51,25,fpga,MLP,only_full_features,42,100,0.9699269672208028,0.07598258837018428,0.9258718391308265,0.021352563632491182
52,25,fpga,MLP,full_features_one_hot,42,100,0.9541094228333219,0.20055422737557416,0.9282233652062061,0.02343811037260469
53,25,fpga,MLP,full_features_one_hot_proxies,42,100,-1880373238.2228608,4009403033.751028,0.5501250194388754,0.2197956282044016
54,55,edgegpu,MLP,only_features,42,100,0.6109907382050203,0.07837238186439982,0.6401488524802218,0.037792387343880164
55,55,edgegpu,MLP,only_proxies,42,100,-2624659178.3812084,5844336346.637929,0.19437106823011308,0.20879236868157802
56,55,edgegpu,MLP,only_one_hot,42,100,0.7586407144486966,0.05145687554380839,0.7115367614000373,0.04159383057540763
57,55,edgegpu,MLP,features_one_hot,42,100,0.7660676945167026,0.0533288125574225,0.7268831649863726,0.037783275422940875
58,55,edgegpu,MLP,features_proxies,42,100,-1501654797.8264334,4946934236.183599,0.28408295736219513,0.17377748092243364
59,55,edgegpu,MLP,features_one_hot_proxies,42,100,-1883708365.0254252,4140040293.892467,0.2955684239278912,0.20430980178618835
60,55,edgegpu,MLP,only_full_features,42,100,0.725145487649212,0.13556452458074522,0.6937396089108679,0.04969205220276102
