,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,MLP,full_features_one_hot_proxies,42,100,-4650902259.177548,13673847494.20442,0.2472117960315394,0.156395218245096
1,11,eyeriss,MLP,full_features_one_hot_proxies,42,100,-1851899050529.8057,5448354356187.015,0.11054879453245618,0.19044423177609082
2,11,fpga,MLP,full_features_one_hot_proxies,42,100,-3571989930.9031005,6845122682.979827,0.4495642926178067,0.21021291880367007
3,25,edgegpu,MLP,full_features_one_hot_proxies,42,100,-3683503451.812232,7469440480.746968,0.28996394750667664,0.16835707632203853
4,25,eyeriss,MLP,full_features_one_hot_proxies,42,100,-1641597605818.2017,4093167649046.809,0.07857304302425232,0.21484638392595587
5,25,fpga,MLP,full_features_one_hot_proxies,42,100,-5888959630.948098,20050063599.369476,0.46824589957932067,0.23622755141579255
6,55,edgegpu,MLP,full_features_one_hot_proxies,42,100,-4958732078.09466,14610343853.846277,0.2915970200890253,0.20081173301123598
7,55,eyeriss,MLP,full_features_one_hot_proxies,42,100,-1410864550010.9,4844922300559.856,0.10160645855228174,0.2199688096405053
8,55,fpga,MLP,full_features_one_hot_proxies,42,100,-1924397994.4325128,4543524704.843041,0.49778886079758544,0.2545233079914152
9,124,edgegpu,MLP,full_features_one_hot_proxies,42,100,-818118065.2147417,2733439525.3658576,0.27145012002530744,0.18527475471368957
10,124,eyeriss,MLP,full_features_one_hot_proxies,42,100,-203666111334.7811,473876631812.15607,0.04860875159618427,0.22117950998648866
11,124,fpga,MLP,full_features_one_hot_proxies,42,100,-200089160.22858465,476152355.1528592,0.4197684215603788,0.2445357289317073
12,276,edgegpu,MLP,full_features_one_hot_proxies,42,100,-75280389.13845554,338826159.16007394,0.3995429282556692,0.1575978967891573
13,276,eyeriss,MLP,full_features_one_hot_proxies,42,100,-14849227544.16912,56425346683.27816,0.12555406093424998,0.18195218721302264
14,276,fpga,MLP,full_features_one_hot_proxies,42,100,-89035587.04493622,591322180.5764413,0.6247881386076704,0.1763148391838768
15,614,edgegpu,MLP,full_features_one_hot_proxies,42,100,-17351484.230997477,70413677.47147559,0.5039005633913103,0.1326382689655381
16,614,eyeriss,MLP,full_features_one_hot_proxies,42,100,-13027465471.039078,56600532362.82023,0.15041698402272363,0.17655079539359966
17,614,fpga,MLP,full_features_one_hot_proxies,42,100,-57874891.8893987,290692382.4202909,0.712774939183819,0.14131106953188202
18,1366,edgegpu,MLP,full_features_one_hot_proxies,42,100,-568732.4679992455,2179440.572775109,0.5930975375283625,0.12349947291944122
19,1366,eyeriss,MLP,full_features_one_hot_proxies,42,100,-871929480.8353735,5631751899.851914,0.20833231452329104,0.1421586052982051
20,1366,fpga,MLP,full_features_one_hot_proxies,42,100,-1337332.3861464476,7112559.6452530045,0.7953548278801702,0.09978611824907857
21,3036,edgegpu,MLP,full_features_one_hot_proxies,42,100,-2071336.7681968946,11296168.254128037,0.5897674426187709,0.15519770538315242
22,3036,eyeriss,MLP,full_features_one_hot_proxies,42,100,-841829027.8336045,4719255266.089491,0.15847549951904957,0.203937337334966
23,3036,fpga,MLP,full_features_one_hot_proxies,42,100,-21044407.183097973,190636625.02470368,0.8029479992487373,0.1179261757513863
24,6748,edgegpu,MLP,full_features_one_hot_proxies,42,100,-529859.6691443237,2357277.693159807,0.6124281296173525,0.17929507068720427
25,6748,eyeriss,MLP,full_features_one_hot_proxies,42,100,-2157513518.734365,7143847045.095559,0.16212127894861317,0.17736603596502964
26,6748,fpga,MLP,full_features_one_hot_proxies,42,100,-1995071.6741251843,15236430.079597186,0.7736182666608865,0.16267443861719605
27,15000,edgegpu,MLP,full_features_one_hot_proxies,42,100,-109956.35935168849,664162.2163408869,0.5948585266989164,0.20101263504127082
28,15000,eyeriss,MLP,full_features_one_hot_proxies,42,100,-1298910541.3169682,5763453512.316378,0.6043567053140366,0.27504964336425664
29,15000,fpga,MLP,full_features_one_hot_proxies,42,100,-946201.4674709237,7486786.141007661,0.7640676190113622,0.14337794957826
