,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,Linear,only_full_features,42,100,0.3306477561816049,0.30611023466644227,0.48651161991034086,0.12655796418018517
1,11,edgegpu,Linear,full_features_one_hot,42,100,0.35312715795794763,0.2966527524124954,0.49486298851051225,0.12537082579263492
2,11,edgegpu,Linear,full_features_one_hot_proxies,42,100,-82838776875.03989,118251800571.86131,0.28489586210227974,0.13914114886163384
3,11,eyeriss,Linear,only_full_features,42,100,0.7919061138444848,0.08983092571856342,0.7625206269654027,0.054743047429017894
4,11,eyeriss,Linear,full_features_one_hot,42,100,0.7983772635327897,0.08913972708869229,0.7686153293711471,0.053363399833483864
5,11,eyeriss,Linear,full_features_one_hot_proxies,42,100,-56428421186.45476,84293423161.7047,0.399702624558098,0.1288759825503116
6,11,fpga,Linear,only_full_features,42,100,0.9408871136116749,0.02800350244467442,0.8735502073225557,0.0228236785589485
7,11,fpga,Linear,full_features_one_hot,42,100,0.94204999773246,0.028419969837589362,0.875956311536244,0.023321001535931182
8,11,fpga,Linear,full_features_one_hot_proxies,42,100,-12650462760.847586,20892155052.48954,0.630978470550379,0.11004632813783233
9,25,edgegpu,Linear,only_full_features,42,100,0.5439477498085453,0.15425943962047003,0.5736410049624958,0.0666972211390551
10,25,edgegpu,Linear,full_features_one_hot,42,100,0.6162869867528392,0.12889519709705122,0.6078742734815021,0.06322403248644584
11,25,edgegpu,Linear,full_features_one_hot_proxies,42,100,-4640787289.726224,7724893331.299171,0.5944917262710246,0.06334906157611277
12,25,eyeriss,Linear,only_full_features,42,100,0.9294901083438176,0.022057707911979238,0.8438316122521194,0.021129830513218064
13,25,eyeriss,Linear,full_features_one_hot,42,100,0.94249869156435,0.0209256699684127,0.8596038510081193,0.02123927001115639
14,25,eyeriss,Linear,full_features_one_hot_proxies,42,100,0.88695780698115,0.08888390041810294,0.8314776496836959,0.02945070966830066
15,25,fpga,Linear,only_full_features,42,100,0.983979007251364,0.005842485444311868,0.9304093398960347,0.011139774636063002
16,25,fpga,Linear,full_features_one_hot,42,100,0.9870978440772096,0.0050995723686670545,0.9376197384458539,0.010901194090563105
17,25,fpga,Linear,full_features_one_hot_proxies,42,100,0.9848601986781673,0.008826887493754825,0.9416256264345086,0.010606305253552923
18,55,edgegpu,Linear,only_full_features,42,100,0.15248248279871812,0.39781293140559854,0.4985912646703195,0.08414073569554113
19,55,edgegpu,Linear,full_features_one_hot,42,100,0.6049413167307971,0.13703923717886266,0.6234694100242255,0.06020544659071696
20,55,edgegpu,Linear,full_features_one_hot_proxies,42,100,-6.299916105690642,16.868603482119536,0.6194750814912129,0.05961388687833181
21,55,eyeriss,Linear,only_full_features,42,100,0.9964514040602933,0.002379662630259164,0.9429148531519373,0.014437296422160184
22,55,eyeriss,Linear,full_features_one_hot,42,100,0.9980157665919416,0.0009559896286005479,0.9535649330862903,0.007478250879884064
23,55,eyeriss,Linear,full_features_one_hot_proxies,42,100,0.9213848449151374,0.17507067401588383,0.9177543918436529,0.014399795641310513
24,55,fpga,Linear,only_full_features,42,100,0.9989942316039593,0.0005495812199659011,0.9811329155188033,0.003811982170900244
25,55,fpga,Linear,full_features_one_hot,42,100,0.9989116022882534,0.00038902797416275243,0.9808869532079109,0.0026725513957068193
26,55,fpga,Linear,full_features_one_hot_proxies,42,100,0.9885199170395506,0.032270412478379126,0.9803039434862569,0.0032670552840910866
27,124,edgegpu,Linear,only_full_features,42,100,0.8311629267209295,0.026248750924058234,0.7488734637599501,0.013738950066623573
28,124,edgegpu,Linear,full_features_one_hot,42,100,-1.691302862929326e+23,7.772907948628114e+23,0.6345382338048158,0.09176629819041421
29,124,edgegpu,Linear,full_features_one_hot_proxies,42,100,-1.8546063246343415e+20,9.345718609715193e+20,0.7895944630929848,0.07767174011890216
30,124,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9874006184770343,0.0007245984693555206
31,124,eyeriss,Linear,full_features_one_hot,42,100,0.9999815438856623,7.477093969245084e-05,0.9873696020126925,0.000954606382616737
32,124,eyeriss,Linear,full_features_one_hot_proxies,42,100,0.9999797234141977,7.695237577018383e-05,0.9869828625577416,0.0011390957450819214
33,124,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9905723885800078,0.0009625462386272849
34,124,fpga,Linear,full_features_one_hot,42,100,0.9999950356594534,1.3368801893891077e-05,0.9903294033470382,0.001606685370898451
35,124,fpga,Linear,full_features_one_hot_proxies,42,100,0.9999944563509874,1.3775702523700549e-05,0.9901358043256144,0.00171374990875731
36,276,edgegpu,Linear,only_full_features,42,100,0.8521473515222077,0.011234734093366444,0.7596800022778807,0.00732415665735381
37,276,edgegpu,Linear,full_features_one_hot,42,100,0.8651033406698183,0.005324999025650817,0.8165836821891646,0.014461069708515574
38,276,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9016041067655075,0.009450864772015408,0.838805235131693,0.007228585747176403
39,276,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9873401737551307,0.0006715220259776686
40,276,eyeriss,Linear,full_features_one_hot,42,100,0.9999911741774682,6.209206151112329e-05,0.9872104917678013,0.0005666388334645275
41,276,eyeriss,Linear,full_features_one_hot_proxies,42,100,0.9999911345480945,6.237086493064608e-05,0.9871880930303258,0.0005092472570594753
42,276,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9900535038482503,0.0010757175497032338
43,276,fpga,Linear,full_features_one_hot,42,100,0.9999992796804061,5.067639021881577e-06,0.9894196059833188,0.0005835665089614098
44,276,fpga,Linear,full_features_one_hot_proxies,42,100,0.9999992673384296,5.154468093115652e-06,0.9897406264620509,0.0006009397993783918
45,614,edgegpu,Linear,only_full_features,42,100,0.8625584883232427,0.002372238469256637,0.7650454077305866,0.004097837534480714
46,614,edgegpu,Linear,full_features_one_hot,42,100,0.8648060740195602,0.013135158615824084,0.8169641514508412,0.01607591657573204
47,614,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9216593680478451,0.0025537844258780498,0.8510896042639527,0.0037226784305695038
48,614,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9873937229032864,0.0007578276284883105
49,614,eyeriss,Linear,full_features_one_hot,42,100,1.0,0.0,0.9869190258686852,0.0004992884864753506
50,614,eyeriss,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9868335945622941,0.000492497473248913
51,614,fpga,Linear,only_full_features,42,100,1.0,0.0,0.98979924031917,0.0009530067109769231
52,614,fpga,Linear,full_features_one_hot,42,100,1.0,0.0,0.9888571302847062,0.0003595168517874025
53,614,fpga,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9889576503112919,0.00048777217441738047
54,1366,edgegpu,Linear,only_full_features,42,100,0.8650724013814853,0.0010738833023789798,0.7666953721051472,0.0026446310330688126
55,1366,edgegpu,Linear,full_features_one_hot,42,100,0.8714371902479088,0.012744294925621699,0.8240275725519604,0.014672602026276078
56,1366,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9253203332730832,0.0008419083728041833,0.8509096124278835,0.00256005479652725
57,1366,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9872219502583355,0.0007212834197575865
58,1366,eyeriss,Linear,full_features_one_hot,42,100,1.0,0.0,0.9864713293400729,0.0005709723371560377
59,1366,eyeriss,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9862923502247221,0.0006754138664444587
60,1366,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9892922083065985,0.0009892156720088827
61,1366,fpga,Linear,full_features_one_hot,42,100,1.0,0.0,0.9882010840257419,0.0007375496254123701
62,1366,fpga,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9881813571866249,0.000751952276529975
63,3036,edgegpu,Linear,only_full_features,42,100,0.8661733865390895,0.001237753172959754,0.7676651715584406,0.002176054360102988
64,3036,edgegpu,Linear,full_features_one_hot,42,100,0.8755523402727774,0.002669854698522869,0.829036425902907,0.005728604615900349
65,3036,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9273957579492722,0.0007870156139838498,0.8545236081416671,0.00197577306428956
66,3036,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9870756305023911,0.0006800862537644721
67,3036,eyeriss,Linear,full_features_one_hot,42,100,1.0,0.0,0.9860898955249009,0.00046920937397884285
68,3036,eyeriss,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9862011912160068,0.000498846785181109
69,3036,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9890852927911805,0.0009381852783684117
70,3036,fpga,Linear,full_features_one_hot,42,100,1.0,0.0,0.9877720394891867,0.00028831102197288805
71,3036,fpga,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9878567131521414,0.00040974290895921475
72,6748,edgegpu,Linear,only_full_features,42,100,0.8670188010031069,0.0018935707694647036,0.7680731931824677,0.0020017818034664546
73,6748,edgegpu,Linear,full_features_one_hot,42,100,0.8764657687327432,0.004320185662482404,0.8302564809848634,0.006685103709441299
74,6748,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9260487037582472,0.0012448694421686177,0.8562787214390003,0.0015807606802773616
75,6748,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9868411359737845,0.0006820628492665655
76,6748,eyeriss,Linear,full_features_one_hot,42,100,1.0,0.0,0.9858174718685682,0.00047060833663419975
77,6748,eyeriss,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9859346380562171,0.00043892340396188567
78,6748,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9889357938340563,0.0009248872809967835
79,6748,fpga,Linear,full_features_one_hot,42,100,1.0,0.0,0.9872185577630914,0.00029447480256632674
80,6748,fpga,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.987658354829389,0.0002691758570239266
81,15000,edgegpu,Linear,only_full_features,42,100,0.8798835723634627,0.01012705222482866,0.7838997894173176,0.008597855936451368
82,15000,edgegpu,Linear,full_features_one_hot,42,100,0.8770977661876408,0.01564205609739417,0.8331830072040773,0.006998864513704373
83,15000,edgegpu,Linear,full_features_one_hot_proxies,42,100,0.9282840068618704,0.00695477485976313,0.8565789837966057,0.0056411730020904495
84,15000,eyeriss,Linear,only_full_features,42,100,1.0,0.0,0.9868766890919034,0.0010209643824192359
85,15000,eyeriss,Linear,full_features_one_hot,42,100,1.0,0.0,0.9858826623015033,0.0008919378927877501
86,15000,eyeriss,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.985523943572544,0.00099751648027952
87,15000,fpga,Linear,only_full_features,42,100,1.0,0.0,0.9888305445428113,0.0009583199477171975
88,15000,fpga,Linear,full_features_one_hot,42,100,1.0,0.0,0.98730025718321,0.0006111184387857152
89,15000,fpga,Linear,full_features_one_hot_proxies,42,100,1.0,0.0,0.9871994819473315,0.0006581653966066653
