,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,SVM,only_features,42,100,-0.05854176115876588,0.18134878493829407,0.3003773087479621,0.20630623660048517
1,11,edgegpu,SVM,only_proxies,42,100,-0.12135294784694961,0.1975421468305873,0.12317984328401194,0.10092801878606796
2,11,edgegpu,SVM,only_one_hot,42,100,-0.1066864885642503,0.19729177564117759,0.29300532775793686,0.06940465682118255
3,11,edgegpu,SVM,features_one_hot,42,100,-0.05861724803469759,0.18156830312423247,0.3025594698765291,0.20607926230005436
4,11,edgegpu,SVM,features_proxies,42,100,-0.12174328328872194,0.19814790520791883,0.12275914267895623,0.10000749699154618
5,11,edgegpu,SVM,features_one_hot_proxies,42,100,-0.12178110264617875,0.19819904963564164,0.12279111984712526,0.10006423778840107
6,11,edgegpu,SVM,only_full_features,42,100,-0.056059958437867416,0.1820093923322797,0.3215303986830942,0.17651096992807036
7,11,edgegpu,SVM,full_features_one_hot,42,100,-0.05616211948607889,0.18217788307344523,0.3228637137563783,0.17643458118253544
8,11,edgegpu,SVM,full_features_one_hot_proxies,42,100,-0.12181863664063379,0.19825554264888745,0.12295244702626011,0.1001782460014023
9,11,eyeriss,SVM,only_features,42,100,0.25463961420114584,0.14557529128557048,0.5328868099532216,0.11526345117362895
10,11,eyeriss,SVM,only_proxies,42,100,-0.06807677171414295,0.16233588471062643,0.14809655296362773,0.09999546950131451
11,11,eyeriss,SVM,only_one_hot,42,100,0.11995545298243482,0.13285993010955705,0.3911232410197124,0.08516414987982196
12,11,eyeriss,SVM,features_one_hot,42,100,0.25791894947024807,0.14426004220666813,0.5364238720219562,0.11407502979405129
13,11,eyeriss,SVM,features_proxies,42,100,-0.06932751663934048,0.1608075814419731,0.14653624279654515,0.1011985722382865
14,11,eyeriss,SVM,features_one_hot_proxies,42,100,-0.06942377155131278,0.16072539709171801,0.14640280458138322,0.10128625116261349
15,11,eyeriss,SVM,only_full_features,42,100,0.3651090618615409,0.12583296199258595,0.60396698281914,0.09674732095585431
16,11,eyeriss,SVM,full_features_one_hot,42,100,0.36639846150015004,0.1256207680604221,0.6052204935065488,0.09604092747860803
17,11,eyeriss,SVM,full_features_one_hot_proxies,42,100,-0.06935761696452784,0.16061836419824396,0.14672946047726373,0.10153671312715935
18,11,fpga,SVM,only_features,42,100,0.22519147026129077,0.16311169007849888,0.7892087565747323,0.10859004944709535
19,11,fpga,SVM,only_proxies,42,100,-0.1050482947342471,0.1917406398345196,0.22986173213581956,0.14161062309373038
20,11,fpga,SVM,only_one_hot,42,100,-0.08667241329248916,0.19028569266820325,0.31223860958777583,0.07278212319190742
21,11,fpga,SVM,features_one_hot,42,100,0.22375305613124996,0.16286621393079367,0.7910211871066265,0.10784645536970673
22,11,fpga,SVM,features_proxies,42,100,-0.10570999937828959,0.19178631767689525,0.2280539701386841,0.13911954728607973
23,11,fpga,SVM,features_one_hot_proxies,42,100,-0.10576642930759059,0.19179021708012972,0.2279053163824814,0.13895646119385488
24,11,fpga,SVM,only_full_features,42,100,0.21515322901105094,0.16036570622931823,0.7917947444014206,0.1060239623179204
25,11,fpga,SVM,full_features_one_hot,42,100,0.21394302759508627,0.1602580913670026,0.7931625707550655,0.10503049465924535
26,11,fpga,SVM,full_features_one_hot_proxies,42,100,-0.10582140587513926,0.1917942052817384,0.22790562077160184,0.13882579770232867
27,25,edgegpu,SVM,only_features,42,100,0.055887728879239026,0.08895033251342312,0.38919093793239024,0.058656619568030394
28,25,edgegpu,SVM,only_proxies,42,100,-0.03926897976887978,0.07910945104862843,0.18975957283717468,0.09652919745364034
29,25,edgegpu,SVM,only_one_hot,42,100,0.003438933730046536,0.07402243040900115,0.4137042441811544,0.05655314089150366
30,25,edgegpu,SVM,features_one_hot,42,100,0.05609585873660623,0.08890140443368456,0.39147734938886314,0.057435706837826644
31,25,edgegpu,SVM,features_proxies,42,100,-0.03945293704240483,0.07909894374412921,0.18882477675029732,0.09664127256996077
32,25,edgegpu,SVM,features_one_hot_proxies,42,100,-0.039467936371209246,0.07910043947669844,0.18874989122115196,0.0966508491253396
33,25,edgegpu,SVM,only_full_features,42,100,0.06459748491079428,0.0875441224191092,0.4037961761904982,0.04865665399953589
34,25,edgegpu,SVM,full_features_one_hot,42,100,0.06459743414569549,0.08756754665942372,0.4049224247657671,0.04819017565117574
35,25,edgegpu,SVM,full_features_one_hot_proxies,42,100,-0.039478407284102346,0.07910197450128448,0.188813255460717,0.09670679199491783
36,25,eyeriss,SVM,only_features,42,100,0.40041932110690254,0.07699928903936032,0.6306739275029984,0.06311753876997059
37,25,eyeriss,SVM,only_proxies,42,100,-0.0026212320945065604,0.09446651130157699,0.18523979046310837,0.11743809719470609
38,25,eyeriss,SVM,only_one_hot,42,100,0.3608735042749919,0.09025907824800503,0.5693202406875606,0.06646923466910332
39,25,eyeriss,SVM,features_one_hot,42,100,0.40475179265037897,0.07638244372557866,0.6348311035393328,0.06213676084290109
40,25,eyeriss,SVM,features_proxies,42,100,-0.004526207631322111,0.09263843017005405,0.18408793169278836,0.11675686833636076
41,25,eyeriss,SVM,features_one_hot_proxies,42,100,-0.004612061926376096,0.09246341458939059,0.18401506081464977,0.11671339337918314
42,25,eyeriss,SVM,only_full_features,42,100,0.583718854143481,0.06741385479196585,0.6998506056621983,0.05005147403791168
43,25,eyeriss,SVM,full_features_one_hot,42,100,0.585052093861713,0.06722911403409404,0.7011968666449468,0.049397787450884544
44,25,eyeriss,SVM,full_features_one_hot_proxies,42,100,-0.0045289247019416525,0.09238354812603242,0.18456185280114212,0.11705671480296588
45,25,fpga,SVM,only_features,42,100,0.506350317923454,0.0881157972629168,0.8191465251294631,0.034211253439669784
46,25,fpga,SVM,only_proxies,42,100,-0.03745696793486045,0.0739526310439334,0.28486732687255373,0.10323972651463822
47,25,fpga,SVM,only_one_hot,42,100,0.015598622830961029,0.05941865861672743,0.4525915362668528,0.05736991130670985
