,train_size,device,model,features_type,random_seed,repeat,r2_mean,r2_std,kendal_mean,kendal_std
0,11,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.30447790736716035,0.2552713323678985,0.44572298255093334,0.10798430220478213
1,11,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.4197841544306269,0.24729556882714349,0.5482003911370436,0.12631616982542848
2,11,fpga,XGBRegressor,full_features_one_hot,42,100,0.528114391129358,0.19392026211398128,0.607585798268118,0.1098490034629226
3,25,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.6412697618975521,0.1029645880013344,0.639294498793885,0.06210762362783847
4,25,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.8846260086574087,0.06358026861364179,0.8496561031253809,0.047888131253305315
5,25,fpga,XGBRegressor,full_features_one_hot,42,100,0.8900600198892321,0.0432789369245058,0.8600995495934184,0.030097370305016784
6,55,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.8063745015061605,0.03323475050761784,0.7427932392427175,0.024011925519692546
7,55,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9683477200550524,0.01942019978003811,0.9384395727497311,0.014616648360110998
8,55,fpga,XGBRegressor,full_features_one_hot,42,100,0.9641710389090059,0.014994447252904754,0.9314691442572677,0.011509318412307408
9,124,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.8871512839283657,0.019619819102513248,0.8083586048322229,0.012469653614693684
10,124,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.993859932005182,0.007208276961813552,0.9729920090388308,0.005227035157829561
11,124,fpga,XGBRegressor,full_features_one_hot,42,100,0.9884163679165241,0.005553708331877281,0.9657431644853157,0.006081713936340893
12,276,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.9374467827779616,0.013340929784823314,0.8559852636311642,0.006820205252664334
13,276,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9977377646090038,0.0014865888126298563,0.983513726014609,0.0013302057146780814
14,276,fpga,XGBRegressor,full_features_one_hot,42,100,0.9966644153064815,0.001403248384507067,0.9814435264907583,0.0020788570353833633
15,614,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.963903947499288,0.006360852378992117,0.8884445456194086,0.003209363234096473
16,614,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9994889705330344,0.0009496141940335002,0.9917950848860471,0.002232477351599312
17,614,fpga,XGBRegressor,full_features_one_hot,42,100,0.9989594211335319,0.000545146088565437,0.985340033586427,0.0007436208075631854
18,1366,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.9751597233202662,0.0010260307913997953,0.9070734512356404,0.0020914337660796313
19,1366,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9999585454759167,2.4149052756996246e-05,0.9972960874109735,0.0009745782604756061
20,1366,fpga,XGBRegressor,full_features_one_hot,42,100,0.9996661273465548,0.0002856437157684329,0.9868418587745765,0.0007552602520234818
21,3036,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.9793339665723143,0.0005254461039675859,0.9174566290413193,0.0013659430850422108
22,3036,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9999873877588406,9.784685142861572e-06,0.998228622585323,0.0001824733744550645
23,3036,fpga,XGBRegressor,full_features_one_hot,42,100,0.9998798710914442,8.43757518564516e-05,0.9923323091430573,0.002337555139903344
24,6748,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.9812782256117859,0.0005509437846899645,0.9235836928880586,0.0009043627463570369
25,6748,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9999973203991499,3.096498360585915e-06,0.9983816719312756,5.6119668238359594e-05
26,6748,fpga,XGBRegressor,full_features_one_hot,42,100,0.9999405627268261,5.0854865610111934e-05,0.9982919199851419,0.0013262083354490235
27,15000,edgegpu,XGBRegressor,full_features_one_hot,42,100,0.9824702600248111,0.004129032806971504,0.9287896332690039,0.0052124740099794425
28,15000,eyeriss,XGBRegressor,full_features_one_hot,42,100,0.9999982887722103,5.4119346947484075e-06,0.9983857850607265,0.00033121903192777976
29,15000,fpga,XGBRegressor,full_features_one_hot,42,100,0.9999599164959713,0.00016423232402943094,0.9996074318279917,0.0008380635422250013
